artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SMOKE_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SMOKE_ROWS_20260701.csv,755d84e27c861b3120580d66349908432e1835ed744d71db62940560491422bf,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_COMPARISON_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_COMPARISON_ROWS_20260701.csv,2139b26a8c0ec5cf7e964ef599b918c9fc512f60b74ea19b050b1b65edcbcb0f,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_PROMOTION_GAPS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_PROMOTION_GAPS_20260701.csv,18a745297fe99943da81af5cc679891c78cad64ac4e297346ba861cc30ba7d6b,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SOURCE_LOCK_20260701.csv,d66d6e907dda1aa5c37c49f59d48bdf991db0e056c1f72a2abc1e4e8ca3fdff9,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_DIRTY_CONTEXT_20260701.csv,aeaaf825f19cf4cbe9965c947764ff6c6383a1abd6e0c9f4eafa474a4990689a,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SELF_REVIEW_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_SELF_REVIEW_20260701.csv,153945e1cc403dc50d65d2a1c96b3d9596f4014e49277cf576e12b1c53cb27cb,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_STATUS_20260701.json,5f1d86cfe03684f079dabd6e9b493512af8ba67fd56218041d622e1c12877f77,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_REPORT_20260701.json,75ccbf442e5792e198f65eb8ae3ef7ba87d86ca02e8a87e6604cdded5a7a3564,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
528_NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_20260701.md,reports/528_NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_20260701.md,e1c4178bb2feb3d51110b6e0397276dfaab316af697fd8ab1526cd925fe2218a,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,sidewall_reference_surrogate_smoke_not_final_claim,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_READY_NOT_OPTICAL_SOLVER,manifest_self_row_no_recursive_sha,NODI smoke evidence for sidewall reference surrogate propagation;legacy-vs-sidewall reference model comparison;optical solver prioritization,full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
