branch_row_id,preflight_version,route_candidate_id,branch_name,branch_status,evidence_class,accepted_evidence_rows,branch_ready_for_formula,target_claim,target_claim_current,next_required_evidence,hard_fail_if,claim_boundary
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-formal_qch,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,formal_qch,ready_for_formula_input,accepted_exact_pressure_flow_for_formal_qch_sidecar,1,True,route_formula_input,False,route formula packet,formal_qch_missing_from_566_delta,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-exact_pressure_flow,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,exact_pressure_flow,ready_for_formula_input,accepted_exact_pressure_flow_for_formal_qch_sidecar,1,True,route_formula_input,False,pressure-flow result binder,pressure_flow_missing_or_not_exact,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-selected_annulus_context,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,selected_annulus_context,ready_for_formula_input,ready_route_input,1,True,route_formula_input,False,selected annulus context rows,selected_annulus_context_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-runtime_substep_guard,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,runtime_substep_guard,ready_for_formula_input,guarded_runtime_smoke_evidence,1,True,route_formula_input,False,runtime/substep guard smoke,runtime_substep_guard_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-detector_blank_transfer,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,detector_blank_transfer,blocked_missing_required_evidence,accepted_detector_blank_transfer,0,False,detection_probability,False,accepted detector/blank transfer rows,detector_blank_transfer_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-001-wet_observation,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-001,wet_observation,blocked_missing_required_evidence,accepted_wet_observation,0,False,yield,False,accepted wet observation rows,wet_observation_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-formal_qch,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,formal_qch,ready_for_formula_input,accepted_exact_pressure_flow_for_formal_qch_sidecar,1,True,route_formula_input,False,route formula packet,formal_qch_missing_from_566_delta,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-exact_pressure_flow,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,exact_pressure_flow,ready_for_formula_input,accepted_exact_pressure_flow_for_formal_qch_sidecar,1,True,route_formula_input,False,pressure-flow result binder,pressure_flow_missing_or_not_exact,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-selected_annulus_context,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,selected_annulus_context,ready_for_formula_input,ready_route_input,1,True,route_formula_input,False,selected annulus context rows,selected_annulus_context_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-runtime_substep_guard,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,runtime_substep_guard,ready_for_formula_input,guarded_runtime_smoke_evidence,1,True,route_formula_input,False,runtime/substep guard smoke,runtime_substep_guard_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-detector_blank_transfer,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,detector_blank_transfer,blocked_missing_required_evidence,accepted_detector_blank_transfer,0,False,detection_probability,False,accepted detector/blank transfer rows,detector_blank_transfer_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
ROUTE-FORMULA-BRANCH-ROUTE-CAND-002-wet_observation,sidewall_route_formula_binding_preflight_v1,ROUTE-CAND-002,wet_observation,blocked_missing_required_evidence,accepted_wet_observation,0,False,yield,False,accepted wet observation rows,wet_observation_missing,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
