context_id,path,exists,source_lock_status,sha256,context_role,claim_boundary,allowed_use,blocked_use
tsuyama_target_audit,results/tsuyama_phase2_paper_target_audit_v1/tsuyama_paper_target_audit_report_v1.md,true,source_locked_clean_git_context,b77ebf2343dcff69bf4b54fed95d53fd8f75d393039c52a0371b3fba1151bb1e,tsuyama_detection_target_claim_layering_context,direct/inferred/operational/diagnostic-only target separation; does not certify sidewall detection probability,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
tsuyama_phase2_selected_annulus,reports/49_Tsuyama_Phase2_paper_calibrated_selected_annulus_analysis.md,true,source_locked_clean_git_context,f54931d24fa9acab5f4865ae7d1d45e4f2f476638739e5ca00fd9afea93de455,selected_annulus_negative_or_diagnostic_context,selected-annulus analysis remains diagnostic and requires rerun with current sidewall bins before Package D use,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
detector_identity_report_147,reports/147_detector_forward_identity_full_chain_adversarial_audit_synthesis_20260610.md,true,source_locked_clean_git_context,fa1d238186c5ec734a4ee1fc2555391f403e417958b81ee64e83ee653e8c40bb,detector_forward_identity_unresolved_context,detector identity is a high-priority optical boundary; prevents true detector-response claim from context rows alone,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
depth_noise_report_146,reports/146_depth_reference_model_noise_regime_evidence_20260603.md,true,source_locked_clean_git_context,c33e65744156a4a09fd50c7c9e035c13c174ccc9f08dc935c686d1b5047ba2aa,depth_reference_noise_sensitivity_context,depth/noise sensitivity motivates measured blank and transfer calibration before detection probability,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
bfp_roi_operator_summary,results/post_v2_mandatory_audit/bfp_roi_operator_summary.csv,true,deferred_dirty_local_context_not_source_locked,,bfp_roi_diagnostic_context,"BFP ROI rows are diagnostic detector/operator context, not sidewall optical solver output",wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
noise_readout_route_sensitivity,results/post_v2_mandatory_audit/noise_readout_route_sensitivity.csv,true,deferred_dirty_local_context_not_source_locked,,noise_readout_diagnostic_context,"noise/readout sensitivity is a calibration requirement, not a final detection probability",wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
green_tensor_diagnostic,results/post_v2_physical_ceiling/full_wave_green_tensor_diagnostic.csv,true,deferred_dirty_local_context_not_source_locked,,full_wave_green_tensor_surrogate_risk_context,physical-ceiling diagnostic flags optical-solver risk; it is not true sidewall reference-field output,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
jones_polarization_diagnostic,results/post_v2_physical_ceiling/vector_jones_polarization_diagnostic.csv,true,deferred_dirty_local_context_not_source_locked,,vector_jones_polarization_surrogate_risk_context,polarization diagnostic flags solver/model risk; it is not a calibrated detector response,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
calibration_plan_advisor,nodi_simulator/calibration_plan_advisor.py,true,source_locked_clean_git_context,084cb7c7181c504db09970827f8503ea5f4874b3af60374069e35b6c82b72bd7,wet_optical_calibration_plan_context,maps missing evidence to calibration work; it does not unlock wet/yield/detection claims,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
calibration_models,nodi_simulator/calibration_models.py,true,source_locked_clean_git_context,9dd754c04bb4b8c33d7b0a717caaff5d854af247ec190ef59d70c9d848f10366,calibration_model_template_context,calibration models remain templates until bound to measured sidewall/optical/wet data,wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
optical_exposure_safety,nodi_simulator/optical_exposure_safety.py,true,source_locked_clean_git_context,780ed9c60405bb9efc3136b81a6b371138a70bbb5e84982688efc3d4d47d0d12,exposure_photodamage_guard_context,"exposure safety guard is a risk/control context, not a safe-power or wet-pass conclusion",wet/optical/detection evidence context for route candidates;sidewall-specific calibration gap prioritization,formal route_score;winner;JRC;yield;detection_probability;true W_eff;sidewall optical solver claim;wet pass claim;fabrication release;production ingestion
