command_row_id,input_packet_version,sequence_index,command_id,command,expected_artifact,success_disposition_hint,purpose,hard_fail_if_previous_step_failed,claim_boundary
ROUTE-EVIDENCE-COMMAND-01-detector_blank_transfer_intake,sidewall_route_evidence_input_packet_v1,1,detector_blank_transfer_intake,python tools\audits\build_nodi_package_c_sidewall_detector_blank_transfer_intake.py --confirm-sidewall-detector-blank-transfer-intake,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,detector blank transfer intake accepts or rejects detector input rows,False,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-02-wet_surface_observation_manifest_import,sidewall_route_evidence_input_packet_v1,2,wet_surface_observation_manifest_import,python tools\audits\build_nodi_package_c_sidewall_wet_surface_observation_manifest_import.py --confirm-sidewall-wet-surface-observation-manifest-import,NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_MANIFEST_IMPORT_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,imports source-manifest-bound wet observation rows and hashes before wet intake,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-03-wet_surface_observation_intake,sidewall_route_evidence_input_packet_v1,3,wet_surface_observation_intake,python tools\audits\build_nodi_package_c_sidewall_wet_surface_observation_intake.py --confirm-sidewall-wet-surface-observation-intake,NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_INTAKE_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,wet observation intake accepts or rejects endpoint rows,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-04-detector_wet_activation_runner,sidewall_route_evidence_input_packet_v1,4,detector_wet_activation_runner,python tools\audits\build_nodi_package_c_sidewall_detector_wet_evidence_activation_runner.py --confirm-sidewall-detector-wet-evidence-activation-runner,NODI_PACKAGE_C_SIDEWALL_DETECTOR_WET_EVIDENCE_ACTIVATION_RUNNER_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,combines detector and wet accepted-evidence branches,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-05-route_formula_activation_closure,sidewall_route_evidence_input_packet_v1,5,route_formula_activation_closure,python tools\audits\build_nodi_package_c_sidewall_route_formula_activation_closure.py --confirm-sidewall-route-formula-activation-closure,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_ACTIVATION_CLOSURE_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,joins q_ch readiness with detector/wet activation for route formula review,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-06-route_formula_review_dry_run,sidewall_route_evidence_input_packet_v1,6,route_formula_review_dry_run,python tools\audits\build_nodi_package_c_sidewall_route_formula_review_dry_run.py --confirm-sidewall-route-formula-review-dry-run,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_REVIEW_DRY_RUN_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,computes review-only route formula components,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-07-route_formula_policy_review,sidewall_route_evidence_input_packet_v1,7,route_formula_policy_review,python tools\audits\build_nodi_package_c_sidewall_route_formula_policy_review.py --confirm-sidewall-route-formula-policy-review,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,activates route-score candidates only after real accepted evidence,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-08-winner_jrc_policy_review,sidewall_route_evidence_input_packet_v1,8,winner_jrc_policy_review,python tools\audits\build_nodi_package_c_sidewall_winner_jrc_policy_review.py --confirm-sidewall-winner-jrc-policy-review,NODI_PACKAGE_C_SIDEWALL_WINNER_JRC_POLICY_REVIEW_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,activates winner/JRC only after current route scores and unique top,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-09-yield_detection_claim_value_manifest_import,sidewall_route_evidence_input_packet_v1,9,yield_detection_claim_value_manifest_import,python tools\audits\build_nodi_package_c_sidewall_yield_detection_claim_value_manifest_import.py --confirm-sidewall-yield-detection-claim-value-manifest-import,NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,imports source-manifest-bound yield/detection value rows and hashes before claim-value review,True,route_evidence_input_packet_implementation_authorized_evidence_gated
ROUTE-EVIDENCE-COMMAND-10-yield_detection_claim_value_review,sidewall_route_evidence_input_packet_v1,10,yield_detection_claim_value_review,python tools\audits\build_nodi_package_c_sidewall_yield_detection_claim_value_review.py --confirm-sidewall-yield-detection-claim-value-review,NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_REVIEW_STATUS_20260701.json,READY or ACCEPTED disposition; fail closed otherwise,accepts real numeric yield/detection/wet-pass value rows,True,route_evidence_input_packet_implementation_authorized_evidence_gated
