import_row_id,import_version,route_candidate_id,endpoint_id,source_kind,model_or_solver_id,assumption_manifest_id,validity_domain,uncertainty_semantics,claim_level,observation_source_artifact,observation_source_sha256,import_status,import_rejection_reason,claim_boundary
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-material_surface_identity,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,material_surface_identity,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_material_surface_identity_wet_source.csv,23092ac73bd6f62e3b4bdc7b0036cb16841c6b4f5103bcc3e544b270144d3503,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-ev_sample_panel,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,ev_sample_panel,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_ev_sample_panel_wet_source.csv,003fa84e46699ea29e7c13e509f67517dd2ae9f814eba512399c7d93857a8f58,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-adhesion_wall_interaction,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,adhesion_wall_interaction,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_adhesion_wall_interaction_wet_source.csv,c231044d3c3aafec419884a394376e72b9516a23aa18d113835b6ee113b0e90a,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-clogging_time_series,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,clogging_time_series,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_clogging_time_series_wet_source.csv,40dc6e1678e76424c362caaf006d24b6c69e79843ef57cca82376bbcdf9bdd84,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-recovery_flush,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,recovery_flush,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_recovery_flush_wet_source.csv,560759ad328ae93e54478f73f1dda51a3a4a8465e50f05454b5874d6bfb647a0,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-wet_pass_probability,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,wet_pass_probability,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_wet_pass_probability_wet_source.csv,9d430d9506f6ffc4fc592c3383f59b653713c77227d20e18ca6e7ed4638df4ae,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-001-yield_bridge,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-001,yield_bridge,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_yield_bridge_wet_source.csv,f9549bc562cb7e7af3f69fd4d9b519c84443a4eecc1f0f77936107375e93c6d6,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-002-material_surface_identity,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-002,material_surface_identity,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_material_surface_identity_wet_source.csv,cf55ba5dbd363043a1ec21f8411adf985e80aedda06014da2a6d2726aa841927,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-002-ev_sample_panel,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-002,ev_sample_panel,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_ev_sample_panel_wet_source.csv,06d987220bbd2acd8be0b194ea34fd046e77240bc170d347aa5c1ef091a43cd3,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
WET-OBS-MANIFEST-IMPORT-ROUTE-CAND-002-adhesion_wall_interaction,sidewall_wet_surface_observation_manifest_import_v1,ROUTE-CAND-002,adhesion_wall_interaction,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_adhesion_wall_interaction_wet_source.csv,ccee64a12311cd47ef8aa0505af93d5901b0f84fafa43913ca2d20100928491d,wet_observation_manifest_row_ready_for_intake,,wet_surface_observation_manifest_import_not_yield_not_detection_not_route_score
