inventory_id,path,evidence_class,allowed_use,blocked_use,release_decision
Q-0001,configs/realism_v2/forbidden_claims_lexicon.yaml,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0002,configs/realism_v2/forbidden_claims_lexicon.yaml,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0003,configs/realism_v2/forbidden_claims_lexicon.yaml,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0004,configs/realism_v2/forbidden_claims_lexicon.yaml,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0005,nodi_simulator/review_package_claims.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0006,nodi_simulator/review_package_claims.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0007,nodi_simulator/review_package_claims.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0008,nodi_simulator/review_package_claims.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0009,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0010,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0011,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0012,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0013,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0014,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0015,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0016,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
