source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
qch_sidecar_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_QCH_ROWS_20260701.csv,true,32575d12b22a16276196c6ec6e03cf5876a73aadd0a5bbbb603128bffb50c190,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
pressure_flow_validation_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_COMPARISON_ROWS_20260701.csv,true,69134ee8e88c8bcf6e80951c40545ed6bc759effdcc38cdac8d15c20aebb2067,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
route_candidate_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_ROUTE_CANDIDATE_ROWS_20260701.csv,true,1d35879d5ca13c4603a04c650362a8ae8d8a0128560f3aa0b1bf3f72f88a2acd,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
wet_optical_detection_context_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_EVIDENCE_CONTEXT_ROWS_20260701.csv,true,61d84dfbd3dff4f101abe26410a5a7fac94f9cb9a088a75a6ac42694ea7f3c2d,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
sidewall_optical_calibration_bridge_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_STATUS_20260701.json,true,3baf3a918e80e3254df9d002e386cebf45343b1178a3218f3018e097751f7159,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
sidewall_optical_calibration_bridge_readiness_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READINESS_ROWS_20260701.csv,true,a403ac97f6bec06145380e0a0c5b13cff1ef6847679e2c4224a80b248ae4ed04,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
integrated_promotion_ledger_source,nodi_simulator/sidewall_integrated_promotion_ledger.py,true,f359f4a91701fc26ed438ed5119165738a4736dc748020e06a9d52891448ae1b,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
integrated_promotion_ledger_tests,tests/test_sidewall_integrated_promotion_ledger.py,true,4a0d1e255ac072331ed8187dcd2bf4a21c6bf7f9ad3a597c17cd486ba5921fbb,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
integrated_promotion_ledger_builder,tools/audits/build_nodi_package_c_sidewall_integrated_promotion_ledger.py,true,66ce2ad3b6659020f2985445aea1cd9050bd8952ea76370e7d6dfb0d1918a228,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
integrated_promotion_ledger_builder_tests,tests/test_nodi_package_c_sidewall_integrated_promotion_ledger.py,true,0258fb66fa96090df6949df89206df0e49f6a216b43e31658a64e7c3c542db51,promotion_preflight_not_route_score_not_winner_not_yield_not_detection_probability,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
