guard_field,guard_value,guard_status,hard_fail_if,claim_boundary
runtime_allowed,false,runtime_execution_packet_required,runtime_allowed_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
runtime_execution_started,false,no_runtime_started_by_post_proof_release,runtime_execution_started_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
nodi_runtime_recomputation_started,false,no_nodi_recompute_started,nodi_runtime_recomputation_started_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
sidewall_prs_eas_numeric_output_current,false,package_d_precheck_required,sidewall_prs_eas_numeric_output_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
numeric_prs_eas_allowed,false,package_d_precheck_required,numeric_prs_eas_allowed_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
comsol_launch_allowed,false,separate_comsol_execution_packet_required,comsol_launch_allowed_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
comsol_launch_started,false,no_comsol_launch_started,comsol_launch_started_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
mph_load_allowed,false,separate_mph_inspection_packet_required,mph_load_allowed_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
mph_load_started,false,no_mph_load_started,mph_load_started_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
validated_brownian_solver_output_current,false,finite_step_surrogate_only,validated_brownian_solver_output_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
validated_hindered_diffusion_claim_current,false,hydrodynamic_solver_required,validated_hindered_diffusion_claim_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
trapezoid_flow_solver_output_current,false,flow_solver_branch_required,trapezoid_flow_solver_output_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
electrokinetic_solver_output_current,false,electrokinetic_solver_branch_required,electrokinetic_solver_output_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
optical_solver_output_current,false,optical_solver_or_calibration_required,optical_solver_output_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
wet_claim_current,false,wet_experimental_evidence_required,wet_claim_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
route_yield_detection_claim_current,false,route_yield_detection_blocked,route_yield_detection_claim_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
fabrication_or_production_release_current,false,production_ingestion_blocked,fabrication_or_production_release_current_true_in_post_proof_delta_release,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet
