route_candidate_id,endpoint_id,observation_artifact_id,observation_artifact_class,observation_source_artifact,observation_source_sha256,source_geometry_match_level,provided_fields,controls_status,replicate_count,uncertainty_interval_status,pre_registered_rule_status,fixture_not_evidence
ROUTE-CAND-001,material_surface_identity,fixture-obs-ROUTE-CAND-001-material_surface_identity,surface_material_metrology_or_process_record,fixture_not_evidence/ROUTE-CAND-001/material_surface_identity.csv,2121212121212121212121212121212121212121212121212121212121212121,sidewall_specific,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,controls_pass,1,uncertainty_interval_missing,not_required_for_endpoint,true
ROUTE-CAND-001,ev_sample_panel,fixture-obs-ROUTE-CAND-001-ev_sample_panel,ev_characterization_panel,fixture_not_evidence/ROUTE-CAND-001/ev_sample_panel.csv,2222222222222222222222222222222222222222222222222222222222222222,sidewall_specific,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,controls_pass,1,uncertainty_interval_missing,not_required_for_endpoint,true
ROUTE-CAND-001,adhesion_wall_interaction,fixture-obs-ROUTE-CAND-001-adhesion_wall_interaction,wet_wall_interaction_assay,fixture_not_evidence/ROUTE-CAND-001/adhesion_wall_interaction.csv,2323232323232323232323232323232323232323232323232323232323232323,sidewall_specific,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,controls_pass,3,uncertainty_interval_present,not_required_for_endpoint,true
ROUTE-CAND-001,clogging_time_series,fixture-obs-ROUTE-CAND-001-clogging_time_series,flow_or_event_time_series,fixture_not_evidence/ROUTE-CAND-001/clogging_time_series.csv,2424242424242424242424242424242424242424242424242424242424242424,sidewall_specific,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,controls_pass,3,uncertainty_interval_present,pre_registered,true
ROUTE-CAND-001,recovery_flush,fixture-obs-ROUTE-CAND-001-recovery_flush,flush_recovery_protocol_result,fixture_not_evidence/ROUTE-CAND-001/recovery_flush.csv,2525252525252525252525252525252525252525252525252525252525252525,sidewall_specific,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,controls_pass,3,uncertainty_interval_present,not_required_for_endpoint,true
ROUTE-CAND-001,wet_pass_probability,fixture-obs-ROUTE-CAND-001-wet_pass_probability,pre_registered_wet_pass_fail_table,fixture_not_evidence/ROUTE-CAND-001/wet_pass_probability.csv,2626262626262626262626262626262626262626262626262626262626262626,sidewall_specific,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,controls_pass,3,uncertainty_interval_present,pre_registered,true
ROUTE-CAND-001,yield_bridge,fixture-obs-ROUTE-CAND-001-yield_bridge,input_output_mass_or_count_balance,fixture_not_evidence/ROUTE-CAND-001/yield_bridge.csv,2727272727272727272727272727272727272727272727272727272727272727,sidewall_specific,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered,true
ROUTE-CAND-002,material_surface_identity,fixture-obs-ROUTE-CAND-002-material_surface_identity,surface_material_metrology_or_process_record,fixture_not_evidence/ROUTE-CAND-002/material_surface_identity.csv,2828282828282828282828282828282828282828282828282828282828282828,sidewall_specific,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,controls_pass,1,uncertainty_interval_missing,not_required_for_endpoint,true
ROUTE-CAND-002,ev_sample_panel,fixture-obs-ROUTE-CAND-002-ev_sample_panel,ev_characterization_panel,fixture_not_evidence/ROUTE-CAND-002/ev_sample_panel.csv,2929292929292929292929292929292929292929292929292929292929292929,sidewall_specific,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,controls_pass,1,uncertainty_interval_missing,not_required_for_endpoint,true
ROUTE-CAND-002,adhesion_wall_interaction,fixture-obs-ROUTE-CAND-002-adhesion_wall_interaction,wet_wall_interaction_assay,fixture_not_evidence/ROUTE-CAND-002/adhesion_wall_interaction.csv,2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a,sidewall_specific,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,controls_pass,3,uncertainty_interval_present,not_required_for_endpoint,true
ROUTE-CAND-002,clogging_time_series,fixture-obs-ROUTE-CAND-002-clogging_time_series,flow_or_event_time_series,fixture_not_evidence/ROUTE-CAND-002/clogging_time_series.csv,2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b,sidewall_specific,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,controls_pass,3,uncertainty_interval_present,pre_registered,true
ROUTE-CAND-002,recovery_flush,fixture-obs-ROUTE-CAND-002-recovery_flush,flush_recovery_protocol_result,fixture_not_evidence/ROUTE-CAND-002/recovery_flush.csv,2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c,sidewall_specific,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,controls_pass,3,uncertainty_interval_present,not_required_for_endpoint,true
ROUTE-CAND-002,wet_pass_probability,fixture-obs-ROUTE-CAND-002-wet_pass_probability,pre_registered_wet_pass_fail_table,fixture_not_evidence/ROUTE-CAND-002/wet_pass_probability.csv,2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d,sidewall_specific,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,controls_pass,3,uncertainty_interval_present,pre_registered,true
ROUTE-CAND-002,yield_bridge,fixture-obs-ROUTE-CAND-002-yield_bridge,input_output_mass_or_count_balance,fixture_not_evidence/ROUTE-CAND-002/yield_bridge.csv,2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e,sidewall_specific,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered,true
