source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
authorization_policy_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_AUTHORIZATION_EXECUTION_POLICY_LEDGER_STATUS_20260701.json,true,b0291fcc5029dda29bd0ec7f12c82a9fdd0c2bc1674379bed3b79fcd9c2ec391,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
authorization_policy_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_AUTHORIZATION_EXECUTION_POLICY_LEDGER_POLICY_ROWS_20260701.csv,true,299f0b9ba4614cb6ca50353d4ee18bbc9c744e3e48f7d833b459d425374a89b3,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
trapezoid_flow_status,reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_STATUS_20260701.json,true,9d7f7d888ea164746e2708978045a46515c702f4ab2af0d5d47bb6ea266ea3de,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
trapezoid_flow_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_SOLVER_ROWS_20260701.csv,true,beee8a08fcaf592cdc136b44ccb1f9fe2b7acbc2a58764fbb57a739d34272dcb,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
reference_surrogate_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_CANDIDATE_STATUS_20260701.json,true,dedcba54a713ebc05ed45a2e162c43f7b3d22699e1e415a5ccb29e7b308b81c0,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
reference_surrogate_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_CANDIDATE_SURROGATE_ROWS_20260701.csv,true,bc2ea4992ad2e97dd933475ba3899efa451d2d0b1597e0529d122d9914c97a34,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
optical_calibration_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_STATUS_20260701.json,true,3baf3a918e80e3254df9d002e386cebf45343b1178a3218f3018e097751f7159,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
optical_calibration_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READINESS_ROWS_20260701.csv,true,a403ac97f6bec06145380e0a0c5b13cff1ef6847679e2c4224a80b248ae4ed04,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
wet_optical_status,reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_STATUS_20260701.json,true,458d3280e3275f7bded151bd6d55fbbe3eca0359d72d4cfe3f66bd44a92522d0,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
wet_optical_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_EVIDENCE_CONTEXT_ROWS_20260701.csv,true,c5dbe5cee0fc8fc59c3989a487522747ec877e11fff7ce8dfa6fb38ec497e4cc,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
route_readiness_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_READINESS_BOARD_STATUS_20260701.json,true,766784c6e4521603f25618e1ae609a9f61ffa6b4952485046f2606396af52ffa,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
route_readiness_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_READINESS_BOARD_BOARD_ROWS_20260701.csv,true,b65f54f5eb03e1b1f8f9d559cb69bbe80e71b649154c13b4d97edef668de7d96,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
solver_branch_packet_source,nodi_simulator/sidewall_solver_branch_execution_packet.py,true,8e835fd9b60a2b4380f71dee6cdd22a1f7ef034b0d6c25e431848164010da14f,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
solver_branch_packet_tests,tests/test_sidewall_solver_branch_execution_packet.py,true,e1ffc099e4d2b2d85b8a1e7be87a652dfa2324a03cab3adfe4a07d3075154bd9,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
solver_branch_packet_builder,tools/audits/build_nodi_package_c_sidewall_solver_branch_execution_packet.py,true,1a8b5a510e2faa4ddfc8d4a4e17daae25589f7b108172e42420678b2fb01d1df,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
solver_branch_packet_builder_tests,tests/test_nodi_package_c_sidewall_solver_branch_execution_packet.py,true,c05ddc513daab8b0ac18dafbe476ebcd13a29215cf16b062c9bbaa54437af133,solver_branch_execution_packet_authorized_prepare_not_solver_claim_not_route_yield_detection,sidewall solver/wet/route branch execution packet;authorized branch preparation;candidate/context evidence inventory;next execution prioritization,final solver claim;formal q_ch weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;COMSOL launch without branch packet;.mph load without branch packet;fabrication release;production ingestion
