guard_field,guard_value,guard_status,hard_fail_if,claim_boundary,allowed_use,blocked_use
package_c_proof_artifact_registered,false,authorization_does_not_promote_result,package_c_proof_artifact_registered_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
package_c_validation_status_pass_current,false,authorization_does_not_promote_result,package_c_validation_status_pass_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_execution_started,false,authorization_does_not_promote_result,runtime_execution_started_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
sidewall_prs_eas_numeric_output_current,false,authorization_does_not_promote_result,sidewall_prs_eas_numeric_output_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
nodi_runtime_recomputation_started,false,authorization_does_not_promote_result,nodi_runtime_recomputation_started_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
comsol_launch_started,false,authorization_does_not_promote_result,comsol_launch_started_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
mph_load_started,false,authorization_does_not_promote_result,mph_load_started_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
validated_brownian_solver_output_current,false,authorization_does_not_promote_result,validated_brownian_solver_output_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
validated_hindered_diffusion_claim_current,false,authorization_does_not_promote_result,validated_hindered_diffusion_claim_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
trapezoid_flow_solver_output_current,false,authorization_does_not_promote_result,trapezoid_flow_solver_output_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
electrokinetic_solver_output_current,false,authorization_does_not_promote_result,electrokinetic_solver_output_current_true_without_required_evidence_packet,user_authorization_ledger_accepted_not_package_c_proof_pass_not_runtime_result,Package C user authorization ledger;proof-registration path authorization;runtime/substep policy path authorization;solver/wet branch path authorization,automatic Package C proof/pass;unreviewed package_C_validation_status pass;unreviewed runtime result;sidewall PRS/EAS numeric output without Package D precheck;NODI runtime recomputation without execution packet;COMSOL launch without execution packet;.mph load without execution packet;validated Brownian solver output without proof artifact;validated hindered diffusion without solver evidence;trapezoid Poiseuille solver output without solver;electrokinetic grid output without solver;optical solver output without solver;true W_eff without optical evidence;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
