panel_row_id,panel_version,route_candidate_id,route_key,source_case_id,qch_sidecar_id,qch_flow_split_context_status,geometry_match_level,nearest_detection_width_nm,nearest_detection_depth_nm,geometry_distance_nm,wavelength_nm,random_seed,n_events,selected_annulus_n_events,selected_annulus_n_detected,selected_annulus_detection_context_rate,selected_annulus_detection_rate_wilson_lb_context,selected_annulus_detection_rate_wilson_ub_context,min_blank_false_positive_wilson_ub_per_trace,blank_guard_status,detector_response_context_status,optical_calibration_context_status,selected_annulus_context_status,panel_evidence_status,panel_evidence_strength,sidewall_specific_blank_trace_current,detector_response_validation_current,sidewall_specific_optical_calibration_current,detection_probability_current,route_score_current,winner_current,yield_current,claim_boundary
DB-CAL-PANEL-ROUTE-CAND-001-404-601,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,601,64,27,17,0.62962962963,0.442289046234,0.784677129321,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0298545106208,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-001-404-602,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,602,64,31,25,0.806451612903,0.637193964445,0.908131164137,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0493825322445,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-001-404-603,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,603,64,26,21,0.807692307692,0.621233638454,0.914930642282,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0403801864995,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-001-660-601,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,601,64,27,27,1,0.875440962855,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0590922649927,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-001-660-602,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,602,64,31,31,1,0.889740999265,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0689549274431,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-001-660-603,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,603,64,26,26,1,0.871266956195,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0566323521527,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-404-601,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,601,64,31,22,0.709677419355,0.534073400425,0.839043792816,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0413906885329,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-404-602,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,602,64,32,24,0.75,0.578931082298,0.867477560174,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0463144865838,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-404-603,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,404,603,64,24,20,0.833333333333,0.641465296121,0.933214319993,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0384879177673,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-660-601,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,601,64,31,31,1,0.889740999265,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0689549274431,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-660-602,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,602,64,32,32,1,0.892817284943,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0714253827954,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
DB-CAL-PANEL-ROUTE-CAND-002-660-603,sidewall_detector_blank_calibration_panel_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,nearest_width_depth_context_only,800,710,490,660,603,64,24,24,1,0.862019424171,1,0.000384012477767,nearest_blank_guard_finite_below_threshold_not_sidewall_specific,detector_identity_context_available_not_sidewall_response_validation,synthetic_reference_seed_available_not_blank_channel_calibration,expanded_selected_annulus_panel_available_not_probability,detector_blank_calibration_panel_candidate_ready_not_probability,0.0517211654503,false,false,false,false,false,false,false,detector_blank_calibration_panel_candidate_not_detection_probability_not_route_score
