contract_id,contract_version,route_candidate_id,route_key,source_case_id,source_width_nm,source_depth_nm,sidewall_deg_comsol,qch_sidecar_id,endpoint_id,evidence_lane,target_claim,target_claim_current,current_wet_lane_status,nearest_wet_context_status,required_artifact_class,required_fields,minimum_controls,acceptance_basis,hard_fail_if_missing,contract_status,next_required_evidence,not_wet_pass_probability,not_clogging_rate,not_time_to_clog,not_recovery,not_yield,not_detection_probability,not_route_score,not_winner,claim_boundary
WET-SURFACE-CONTRACT-ROUTE-CAND-001-material_surface_identity,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,material_surface_identity,wet_wall_interaction,wet_surface_transferability,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,surface_material_metrology_or_process_record,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,matched rectangle or accepted reference surface;process lot traceability,source-locked metrology/process context before wet evidence transfer,wet_context_transferred_without_surface_identity,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-ev_sample_panel,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,ev_sample_panel,wet_wall_interaction,ev_panel_representativeness,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,ev_characterization_panel,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,blank buffer;size/control particle;EV prep provenance,EV panel metadata sufficient to interpret pass/recovery and detection,yield_claim_without_ev_panel_metadata,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-adhesion_wall_interaction,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,adhesion_wall_interaction,wet_wall_interaction,adhesion_or_wall_loss,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,wet_wall_interaction_assay,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,no-EV blank;reference-channel comparison;replicates,sidewall-specific adhesion or loss assay before wall-loss model,adhesion_probability_from_geometry_or_nearest_wall_distance,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-clogging_time_series,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,clogging_time_series,wet_wall_interaction,clogging_rate_or_time_to_clog,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,flow_or_event_time_series,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,blank run;particle-free buffer;repeat run;open-channel baseline,time-resolved evidence before clogging rate or time-to-clog,clogging_rate_from_static_throat_margin,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-recovery_flush,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,recovery_flush,wet_wall_interaction,recovery_or_reusable_operation,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,flush_recovery_protocol_result,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,pre/post baseline;blank/control channel;cycle repeat,protocol-bound recovery evidence before recovery claims,recovery_claim_without_flush_protocol,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-wet_pass_probability,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,wet_pass_probability,wet_wall_interaction,wet_pass_probability,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,pre_registered_wet_pass_fail_table,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,pre-registered threshold;negative control;positive/control particle,binary or probabilistic pass/fail evidence with uncertainty,wet_pass_probability_from_descriptor_or_surrogate,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-001-yield_bridge,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,500,900,90.0,QCH-CAND-001,yield_bridge,wet_wall_interaction,yield,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,input_output_mass_or_count_balance,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,blank correction;collection efficiency control;mass/count calibration,input-output balance before yield claim,yield_from_detection_or_geometry_surrogate,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-002-material_surface_identity,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,500,900,85.0,QCH-CAND-002,material_surface_identity,wet_wall_interaction,wet_surface_transferability,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,surface_material_metrology_or_process_record,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,matched rectangle or accepted reference surface;process lot traceability,source-locked metrology/process context before wet evidence transfer,wet_context_transferred_without_surface_identity,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-002-ev_sample_panel,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,500,900,85.0,QCH-CAND-002,ev_sample_panel,wet_wall_interaction,ev_panel_representativeness,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,ev_characterization_panel,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,blank buffer;size/control particle;EV prep provenance,EV panel metadata sufficient to interpret pass/recovery and detection,yield_claim_without_ev_panel_metadata,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
WET-SURFACE-CONTRACT-ROUTE-CAND-002-adhesion_wall_interaction,sidewall_wet_surface_evidence_contract_v1,ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,500,900,85.0,QCH-CAND-002,adhesion_wall_interaction,wet_wall_interaction,adhesion_or_wall_loss,False,wet_sidewall_evidence_missing,ev_weighted_panel_surrogate_context_available_not_wet_experiment,wet_wall_interaction_assay,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,no-EV blank;reference-channel comparison;replicates,sidewall-specific adhesion or loss assay before wall-loss model,adhesion_probability_from_geometry_or_nearest_wall_distance,wet_surface_contract_defined_no_wet_validation,sidewall-specific or validated-transfer wet/surface evidence bundle,True,True,True,True,True,True,True,True,wet_surface_contract_not_wet_validation_not_yield_not_detection_probability
