shard_version,row_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_yield,not_route_score,not_winner,not_qch_weighted,not_true_W_eff,not_production_prs,claim_boundary,delta_case_id,route_id_nodi,route_id_nodi_role,diameter_nm,baseline_sidewall_deg_comsol,sidewall_deg_comsol,synthetic_counting_context_rate_delta,mean_peak_height_delta,mean_local_snr_delta,selected_annulus_fraction_delta,selected_annulus_mean_edge_norm_delta,delta_status
sidewall_bounded_event_shards_v1,DELTA-404_W500_D1200-P100-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D1200-P100-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,100,90.0,85.0,0.0,0.4003433882361769,4797.497803975766,0.5,,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W500_D1200-P220-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D1200-P220-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,220,90.0,85.0,0.0,-0.4395370302361812,-131411.2067606015,-0.5,,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W500_D1200-P300-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D1200-P300-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,300,90.0,85.0,0.0,6.051956352797333,-229710.42686325125,0.25,0.06336793044529754,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W500_D900-P100-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D900-P100-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,100,90.0,85.0,0.0,0.7559498104028552,6466.072443996913,0.0,-0.00524452297389133,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W500_D900-P220-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D900-P220-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,220,90.0,85.0,0.0,1.0405072174864927,-23069.18579057092,-0.5,-0.05704569013080263,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W500_D900-P300-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W500_D900-P300-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,300,90.0,85.0,0.0,1.7468658835233555,143848.15883197356,-0.5,,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W600_D900-P100-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W600_D900-P100-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,100,90.0,85.0,0.0,0.30367038197508656,3190.927353313389,-0.25,0.12478033965593127,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W600_D900-P220-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W600_D900-P220-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,220,90.0,85.0,0.0,-5.824712823007985,303507.00410758605,0.25,,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-404_W600_D900-P300-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-404_W600_D900-P300-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,300,90.0,85.0,0.0,2.1691374867734794,53525.85365889128,0.0,-0.2235517884332363,executed_delta_context
sidewall_bounded_event_shards_v1,DELTA-660_W800_D900-P100-TH85_vs_TH90,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,DELTA-660_W800_D900-P100-TH85_vs_TH90,660/W800/D900,join_key_only_not_selection,100,90.0,85.0,0.0,1.1961861108575391,-13270.88548503189,0.0,-0.06061479545142734,executed_delta_context
