forbidden_field_id,forbidden_field_or_alias,allowed_replacement,hard_fail_if_primary_output,claim_boundary
FORBIDDEN-FIELD-001,winner,use_delta_status_or_annulus_remap_status,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-002,route_score,use_axis_specific_delta_fields,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-003,rank,use_dimension_family_stability_band,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-004,ranking,use_recommendation_shift_candidate,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-005,JRC,use_ledger_context_status,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-006,yield,use_tail_particle_support_delta_or_wet_surface_context,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-007,detection_probability,use_interference_enhancement_delta_map,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-008,wet_pass_probability,use_wet_surface_assumption_context,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-009,experimental_data_waiting,use_extreme_simulation_source_gap,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-010,route_score_norm,use_axis_specific_delta_fields,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-011,rank_under_surrogate,use_sensitivity_sort_index_only_if_non_primary,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
FORBIDDEN-FIELD-012,sidewall_score_value,use_sidewall_geometry_sensitivity_delta,True,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
