synthesis_version,claim_boundary,not_detection_probability,not_yield,not_selection_metric_claim,not_qch_weighted,not_true_effective_width_claim,not_production_recommendation,allowed_use,blocked_use,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,row_id,axis,source_artifact,route_id_nodi,lambda_nm,W_nominal_nm,D_nm,diameter_nm,sidewall_deg_comsol,selected_annulus_u_slice_rows,selected_annulus_accessible_bin_rows,surrogate_response_delta_mean,surrogate_response_delta_abs_max,enhancement_delta_proxy_mean,bounded_event_delta_available,bounded_event_mean_peak_height_delta,bounded_event_mean_local_snr_delta,interference_change_signal,interference_implication
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH70-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,70.0,5,3,-0.021958400000000006,0.03753600000000001,-0.021958400000000006,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH80-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,80.0,5,5,-0.031119314048106438,0.03176932582979013,-0.031119314048106438,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH83-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,83.0,5,5,-0.02166980512933438,0.022122438134646843,-0.02166980512933438,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH85-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,85.0,5,5,-0.01544055926650163,0.015763077475723593,-0.01544055926650163,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH87-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,87.0,5,5,-0.009249260297658518,0.009442456335207516,-0.009249260297658518,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH89-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,89.0,5,5,-0.003080581570947366,0.003144927922298743,-0.003080581570947366,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH90-P40,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,40,90.0,5,5,0.0,0.0,0.0,False,,,rectangle_like_response,no_material_response_shift_in_current_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH70-P100,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,100,70.0,5,2,-0.2314,0.5865,-0.2314,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH80-P100,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,100,80.0,5,5,-0.48623928200166305,0.4963957160904706,-0.48623928200166305,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-RESP-404_W500_D1200-TH83-P100,interference_response,590_response_bins_plus_592_bounded_deltas,404/W500/D1200,404,500,1200,100,83.0,5,5,-0.33859070514584966,0.345663095853857,-0.33859070514584966,False,,,surrogate_response_shift,response_map_changes_under_sidewall_surrogate
