expansion_version,row_id,matrix_axis,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_winner,not_yield,not_qch_weighted,not_true_W_eff,not_optical_solver_output,not_route_score,not_comsol_transport_distribution,not_route_selection_claim,not_production_recommendation,route_scope,route_source,candidate_universe_context_only,sidewall_wall_distance_context_only,package_C_validation_status,claim_boundary,dimension_window_case_id,route_id_nodi_join_key,route_id_nodi_role,lambda_nm,W_nominal_nm,W_top_nm,W_top_semantics,D_nm,depth_nm,diameter_nm,channel_cross_section_model,sidewall_angle_convention,sidewall_deg_comsol,sidewall_taper_angle_deg_nodi,cross_section_geometry_version,W_bottom_unclipped_nm,W_bottom_runtime_clipped_nm,closure_status,closure_depth_nm,center_accessible_support_model,center_accessible_area_nm2,rectangle_baseline_area_nm2,center_accessible_area_fraction_vs_rectangle,top_width_compensation_proxy_nm,reference_aperture_surrogate_factor,dimension_window_shift_candidate,tail_particle_status
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P40,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P40,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,40,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,395600.0000000001,395600.0,1.0000000000000002,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P60,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P60,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,60,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,369600.00000000006,369600.0,1.0000000000000002,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P100,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P100,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,100,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,320000.00000000006,320000.0,1.0000000000000002,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P150,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P150,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,150,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,262500.00000000006,262500.0,1.0000000000000002,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P220,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P220,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,220,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,190400.00000000006,190400.0,1.0000000000000002,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P230,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P230,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,230,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,180900.0000000001,180900.0,1.0000000000000004,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P240,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P240,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,240,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,171600.00000000006,171600.0,1.0000000000000004,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P250,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P250,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,250,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,162500.0,162500.0,1.0,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P260,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P260,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,260,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,153600.00000000006,153600.0,1.0000000000000004,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
sidewall_multiwidth_response_expansion_v1,MWDIM-404_W500_D900-TH90-P270,multiwidth_dimension_window,"[""589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM"", ""cross_section_geometry.py"", ""nodi_comsol_next_artifacts.py""]",expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",True,True,True,True,True,True,True,True,True,True,prs_approved_route_matrix,nodi_comsol_next_artifacts.PRS_APPROVED_ROUTE_MATRIX,False,True,not_claiming_trajectory_or_near_wall_runtime,multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score,MWDIM-404_W500_D900-TH90-P270,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,270,ideal_rectangle,comsol_from_horizontal,90.0,0.0,trapezoid_straight_sidewall_v1,500.00000000000006,500.00000000000006,open,inf,wall_normal_half_plane_offset_v1,144900.00000000006,144900.0,1.0000000000000004,0.0,1.0,rectangle_like_dimension_window_candidate,not_tail_sensitive
