response_case_id,paired_baseline_case_id,baseline_pair_required,baseline_pair_status,response_map_basis,reference_field_model,detector_operator_id,particle_position_distribution,W_top_nm,depth_nm,sidewall_deg_comsol,sidewall_taper_angle_deg_nodi,particle_diameter_nm,wavelength_nm,position_distribution_effect_delta,reference_aperture_surrogate_factor,reference_field_effect_delta,detector_overlap_annulus_effect_delta,interference_response_surrogate_delta,response_value_status,A_ref_surrogate_baseline,A_ref_surrogate_sidewall,A_ref_surrogate_delta,A_ref_surrogate_ratio,g_ref_surrogate_baseline,g_ref_surrogate_sidewall,g_ref_surrogate_delta,g_ref_surrogate_ratio,phi_ref_rad,phi_ref_source,phi_ref_confidence,enhancement_delta_proxy,enhancement_delta_relative,enhancement_delta_map_status,near_wall_response_shift,annulus_response_delta,reference_field_solver_needed_flags,reference_field_solver_needed_reason,interference_impact_status,true_W_eff_not_claimed,optical_solver_output_current,not_detection_probability_current,not_route_selection_claim,not_production_recommendation,claim_boundary,impact_matrix_version,row_id,matrix_axis,geometry_case_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_winner,not_yield,not_qch_weighted,not_true_W_eff,not_optical_solver_output
RESP-D900-TH90-P100-WL404,RESP-D900-TH90-P100-WL404,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,100.0,404,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P100-WL404,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P100-WL404,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH90-P100-WL660,RESP-D900-TH90-P100-WL660,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,100.0,660,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P100-WL660,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P100-WL660,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH90-P220-WL404,RESP-D900-TH90-P220-WL404,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,220.0,404,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P220-WL404,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P220-WL404,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH90-P220-WL660,RESP-D900-TH90-P220-WL660,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,220.0,660,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P220-WL660,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P220-WL660,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH90-P300-WL404,RESP-D900-TH90-P300-WL404,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,300.0,404,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P300-WL404,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P300-WL404,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH90-P300-WL660,RESP-D900-TH90-P300-WL660,True,self_baseline,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,90.0,0.0,300.0,660,2.220446049250313e-16,1.0,0.0,0.0,9.992007221626409e-17,surrogate_delta_only_not_detector_validation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,9.992007221626409e-17,9.992007221626409e-17,candidate_response_rectangle_like,rectangle_limit,0.0,rectangle_limit_no_sidewall_solver_delta,rectangle_limit_no_sidewall_solver_delta,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH90-P300-WL660,interference_enhancement_sidewall_sensitivity,RESP-D900-TH90-P300-WL660,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH89-P100-WL404,RESP-D900-TH90-P100-WL404,True,paired_rectangle_baseline_present,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,89.0,1.0,100.0,404,-0.039311978099466405,0.9685808831292083,-0.031419116870791686,0.0,-0.031828992736616143,surrogate_delta_only_not_detector_validation,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,-0.031828992736616143,-0.031828992736616143,candidate_response_rectangle_like,sidewall_annulus_or_reference_delta_present,0.0,sidewall_surrogate_delta_below_solver_trigger_band,sidewall_surrogate_delta_below_solver_trigger_band,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH89-P100-WL404,interference_enhancement_sidewall_sensitivity,RESP-D900-TH89-P100-WL404,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH89-P100-WL660,RESP-D900-TH90-P100-WL660,True,paired_rectangle_baseline_present,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,89.0,1.0,100.0,660,-0.039311978099466405,0.9685808831292083,-0.031419116870791686,0.0,-0.031828992736616143,surrogate_delta_only_not_detector_validation,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,-0.031828992736616143,-0.031828992736616143,candidate_response_rectangle_like,sidewall_annulus_or_reference_delta_present,0.0,sidewall_surrogate_delta_below_solver_trigger_band,sidewall_surrogate_delta_below_solver_trigger_band,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH89-P100-WL660,interference_enhancement_sidewall_sensitivity,RESP-D900-TH89-P100-WL660,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH89-P220-WL404,RESP-D900-TH90-P220-WL404,True,paired_rectangle_baseline_present,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,89.0,1.0,220.0,404,-0.05622525216091223,0.9685808831292083,-0.031419116870791686,0.0,-0.039439966064266765,surrogate_delta_only_not_detector_validation,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,-0.039439966064266765,-0.039439966064266765,candidate_response_rectangle_like,sidewall_annulus_or_reference_delta_present,0.0,sidewall_surrogate_delta_below_solver_trigger_band,sidewall_surrogate_delta_below_solver_trigger_band,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH89-P220-WL404,interference_enhancement_sidewall_sensitivity,RESP-D900-TH89-P220-WL404,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
RESP-D900-TH89-P220-WL660,RESP-D900-TH90-P220-WL660,True,paired_rectangle_baseline_present,position_distribution_reference_aperture_annulus_surrogate_v1,trapezoid_effective_aperture_surrogate_not_full_solver,tsuyama_counting_context_operator_not_probability,center_accessible_area_uniform_surrogate,500.0,900.0,89.0,1.0,220.0,660,-0.05622525216091223,0.9685808831292083,-0.031419116870791686,0.0,-0.039439966064266765,surrogate_delta_only_not_detector_validation,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,1.0,0.9685808831292083,-0.031419116870791686,0.9685808831292083,0.0,surrogate_zero_phase_not_measured,synthetic_context_only,-0.039439966064266765,-0.039439966064266765,candidate_response_rectangle_like,sidewall_annulus_or_reference_delta_present,0.0,sidewall_surrogate_delta_below_solver_trigger_band,sidewall_surrogate_delta_below_solver_trigger_band,interference_proxy_rectangle_like_candidate,True,False,True,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,RESP-D900-TH89-P220-WL660,interference_enhancement_sidewall_sensitivity,RESP-D900-TH89-P220-WL660,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
