synthesis_version,claim_boundary,not_detection_probability,not_yield,not_selection_metric_claim,not_qch_weighted,not_true_effective_width_claim,not_production_recommendation,allowed_use,blocked_use,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,row_id,axis,source_artifact,route_id_nodi,lambda_nm,W_nominal_nm,D_nm,diameter_nm,sidewall_deg_comsol,annulus_edge_norm_min,annulus_edge_norm_max,u_slice_rows,accessible_u_slice_rows,blocked_u_slice_rows,selected_annulus_accessible_fraction,annulus_response_delta_mean,annulus_change_signal,annulus_range_implication,no_neighbor_fill_for_blocked_bins
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH70.0-P100,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,100,70.0,0.5,0.8,5,2,3,0.4,-0.5785,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH70.0-P220,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,220,70.0,0.5,0.8,5,1,4,0.2,-6.245052000000002,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH70.0-P300,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,300,70.0,0.5,0.8,5,1,4,0.2,-15.8355,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH70.0-P40,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,40,70.0,0.5,0.8,5,3,2,0.6,-0.03659733333333334,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH80.0-P100,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,100,80.0,0.5,0.8,5,5,0,1.0,-0.48623928200166305,annulus_geometry_remap_only,edge_norm_range_retained_with_trapezoid_coordinates,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH80.0-P220,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,220,80.0,0.5,0.8,5,4,1,0.8,-5.150439447209304,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH80.0-P300,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,300,80.0,0.5,0.8,5,2,3,0.4,-13.219868520844171,annulus_partial_remap,selected_annulus_range_requires_geometry_support_filter,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH80.0-P40,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,40,80.0,0.5,0.8,5,5,0,1.0,-0.031119314048106438,annulus_geometry_remap_only,edge_norm_range_retained_with_trapezoid_coordinates,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH83.0-P100,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,100,83.0,0.5,0.8,5,5,0,1.0,-0.33859070514584966,annulus_geometry_remap_only,edge_norm_range_retained_with_trapezoid_coordinates,True
sidewall_dimension_annulus_interference_synthesis_v1,sidewall_dimension_annulus_interference_synthesis_not_selection_not_probability,True,True,True,True,True,True,"answer sidewall-angle impact on NODI dimension windows, selected-annulus range, and interference/response sensitivity from simulation artifacts","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,SYN-ANN-MWANN-404_W500_D1200-TH83.0-P220,selected_annulus_range,590_multiwidth_annulus_rows,404/W500/D1200,404,500,1200,220,83.0,0.5,0.8,5,5,0,1.0,-3.605313828393009,annulus_geometry_remap_only,edge_norm_range_retained_with_trapezoid_coordinates,True
