followup_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,delta_case_id,source_route_id_nodi,candidate_route_id_nodi,route_id_role,diameter_nm,source_W_nominal_nm,candidate_W_top_nm,candidate_top_width_delta_nm,sidewall_deg_comsol,original_execution_status,candidate_execution_status,original_selected_annulus_fraction,candidate_selected_annulus_fraction,candidate_minus_original_selected_annulus_fraction_delta,original_mean_peak_height,candidate_mean_peak_height,candidate_minus_original_mean_peak_height_delta,candidate_minus_original_mean_local_snr_delta,candidate_minus_original_synthetic_counting_context_rate_delta,delta_status,candidate_recovery_context
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P40-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P40-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,40,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.0,0.5,0.5,0.18621172258629573,0.1468250861784758,-0.03938663640781992,-38.693964734118396,0.0,executed_candidate_delta_context,annulus_context_improved_response_not_improved
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P60-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P60-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,60,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.5,0.5,0.0,1.4178903907826994,1.3016057132406242,-0.11628467754207517,-1288.568809233136,0.0,executed_candidate_delta_context,candidate_context_not_improved_in_sparse_events
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P100-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P100-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,100,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.5,1.0,0.5,15.326515812687756,15.587156615497882,0.26064080281012636,-7196.901336915755,0.0,executed_candidate_delta_context,annulus_and_response_improved_context
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P150-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P150-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,150,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,1.0,0.5,-0.5,77.7780276304224,79.31938581926778,1.5413581888453791,-31312.816308321533,0.0,executed_candidate_delta_context,response_context_improved_annulus_not_improved
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P220-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P220-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,220,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.0,0.0,0.0,304.9341040680728,317.7027226538701,12.768618585797299,12063.41560764442,0.0,executed_candidate_delta_context,response_context_improved_annulus_not_improved
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P230-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P230-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,230,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.5,0.5,0.0,359.0574592137991,379.52288659738304,20.465427383583915,147346.5131549898,0.0,executed_candidate_delta_context,response_context_improved_annulus_not_improved
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P240-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P240-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,240,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.0,0.0,0.0,417.3248626670704,445.3645482020278,28.039685534957357,24817.261165310163,0.0,executed_candidate_delta_context,response_context_improved_annulus_not_improved
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P250-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P250-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,250,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.0,0.5,0.5,475.00437182510154,509.1158556906426,34.11148386554106,186779.95321517834,0.0,executed_candidate_delta_context,annulus_and_response_improved_context
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P260-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P260-TH85,404/W500/D1200,404/W606/D1200,candidate_join_key_only_not_selection,260,500,606,106,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.0,0.5,0.5,536.4161959485691,587.2351364668103,50.81894051824122,598593.9256835273,0.0,executed_candidate_delta_context,annulus_and_response_improved_context
sidewall_compensated_width_followup_bounded_events_v1,CW-DELTA-404_W500_D1200-P270-TH85,run sparse NODI bounded-event context for compensated 85deg top-width candidates derived from sidewall dimension update rows,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,sidewall_compensated_width_followup_context_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,CW-DELTA-404_W500_D1200-P270-TH85,404/W500/D1200,404/W607/D1200,candidate_join_key_only_not_selection,270,500,607,107,85.0,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.5,0.5,0.0,612.6276552785587,662.9333849951286,50.305729716569886,77496.70629443892,0.0,executed_candidate_delta_context,response_context_improved_annulus_not_improved
