mutation_family,row_equivalent_count,expected_result,observed_unexpected_pass,authorization_promotion,proof_promotion,formal_qch_promotion,route_score_promotion,yield_detection_promotion,chi_selected_promotion
edge4_0p75_1p0_promoted_to_exact_0p75_0p8,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
edge4_0p5_1p0_promoted_to_exact_0p5_0p8,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
exact_annulus_without_edge20_or_0p8_split,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
sidewall_85_used_as_nodi_taper,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
sidewall_5_used_as_comsol_sidewall,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
missing_angle_conversion_formula,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
BFP_ROI_annulus_mixed_with_event_position_annulus,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
velocity_weighting_collapsed_to_winner,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
residence_weighting_collapsed_to_winner,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
source_sha_mismatch_same_paper_claim,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
chi_selected_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
q_ch_eta_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
formal_qch_weighting_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
route_score_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
JRC_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
winner_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
yield_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
detection_probability_spoof,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
runtime_flag_true,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
production_flag_true,50000,expected_fail_or_context_quarantine,0,0,0,0,0,0,0
