sweep_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,delta_case_id,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,diameter_nm,source_W_nominal_nm,candidate_W_top_nm,candidate_envelope_top_width_delta_nm,sidewall_deg_comsol,candidate_n_events_requested,original_n_events_observed,candidate_n_events_observed,original_execution_status,candidate_execution_status,candidate_minus_original_selected_annulus_fraction_delta,candidate_minus_original_mean_peak_height_delta,candidate_minus_original_mean_local_snr_delta,candidate_minus_original_synthetic_counting_context_rate_delta,delta_status
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P40-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P40-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,40,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.375,0.04644277999136634,17.702051639515048,-0.125,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P60-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P60-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,60,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,-0.125,0.0392606440612977,-1332.2724533148548,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P100-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P100-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,100,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,-0.125,-0.4135401305574966,-10646.911059406528,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P150-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P150-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,150,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,-0.75,-0.9936797439405893,9024.516958922206,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P220-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P220-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,220,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.25,16.96746890772704,126662.45633436862,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P230-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P230-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,230,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,-0.25,21.776344110274977,37885.89947519102,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P240-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P240-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,240,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.375,23.398415009718804,-228485.8599170692,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P250-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P250-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,250,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.75,34.6088108864534,123874.35727802641,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P260-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P260-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,260,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,0.625,49.54914047007753,74718.28697796748,0.0,executed_candidate_envelope_delta_context
sidewall_candidate_envelope_higher_event_sweep_v1,ENV-DELTA-404_W500_D1200-P270-TH85,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_envelope_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,ENV-DELTA-404_W500_D1200-P270-TH85,404/W500/D1200,404/W607/D1200,candidate_envelope_join_key_only_not_selection,270,500,607,107,85.0,8,2,8,executed_bounded_nodi_shard,executed_bounded_nodi_shard,-0.5,47.88099655239296,307124.377633458,0.0,executed_candidate_envelope_delta_context
