source_id,path,exists,sha256,source_project,local_git_status,clean_for_git_visible_external_review,source_dependency_policy,allowed_use,blocked_use,claim_boundary
v4_alignment_status,reports/joint_interface_20260702/NODI_COMSOL_V4_UPPER_ASSUMPTION_ALIGNMENT_STATUS_20260702.json,true,c58b8ab38395811ad1fc192cc60398392b913178ebc8d38c4d3b9f301241d1f0,NODI,,true,committed_or_external_hashable_source,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
v4_alignment_route_bindings,reports/joint_interface_20260702/NODI_COMSOL_V4_UPPER_ASSUMPTION_ALIGNMENT_ROUTE_BINDING_ROWS_20260702.csv,true,9510046d504e32aaaea0021b50c72f91cd06c69758caab235f53a22008828228,NODI,,true,committed_or_external_hashable_source,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
v4_alignment_scenarios,reports/joint_interface_20260702/NODI_COMSOL_V4_UPPER_ASSUMPTION_ALIGNMENT_V4_SCENARIO_ROWS_20260702.csv,true,d70f9573651023c9faa8eccad56a6f6e6aee698d6be7f5835d030dcc0c155942,NODI,,true,committed_or_external_hashable_source,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
extension_builder,tools/audits/build_nodi_comsol_v4_alignment_extension.py,true,1b0d5998a9ecccc01380320881f2f61d7146bdedd17244ff76b80bd28d09b73b,NODI,??,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
extension_tests,tests/test_nodi_comsol_v4_alignment_extension.py,true,24dd4e1f5e91b0596de769f177a7539382f9a7e0f6356656bab08569b0b0312e,NODI,??,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_noise_readout_bundle,configs/realism_v2/noise_readout_scenario_bundle.yaml,true,7897bd57b0e26df2a688f06a0ab347f79442d39bd94feac0e0c03ae97b53f126,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_ev_sample_profiles,configs/realism_v2/ev_sample_profiles.yaml,true,898456a4f4f9fd262d82050cb64568d05e5af717cd24c0f1e9030685c7f1a539,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_route_role_vocabulary,configs/realism_v2/route_role_vocabulary.yaml,true,7e8ecfc935a1a1407d16ba455559f011c2fbf1b1053ce4cae1d839f7c2a88ab9,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_forbidden_claims_lexicon,configs/realism_v2/forbidden_claims_lexicon.yaml,true,c7470e8492f52ff40395ce922058543ac3cd6191c21071474f3e2c0ea826ca11,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_candidate_universe_manifest,results/post_v2_mandatory_audit/candidate_universe_manifest.json,true,128ae9ceb6012425a7f30e0268b07e00ec053da77fae02d7729f839d7bde1070,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_top_candidate_audit,results/post_v2_mandatory_audit/top_candidate_mandatory_audit.csv,true,0f6a68a4a282c5a70a73b7c4cef2b7a7759e0d7bc6bad7e0f4e6c2a5c33f0f95,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_physical_ceiling_manifest,results/post_v2_physical_ceiling/physical_ceiling_contract_manifest.json,true,b433536e9e262b61008cd50ace30efa9debef6f82f451ca913f6e9f1f431f103,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_full_wave_green_tensor_diagnostic,results/post_v2_physical_ceiling/full_wave_green_tensor_diagnostic.csv,true,d08058e9c38f55a4619a5f699ed9e7578e7d15ac78407466b9c0357ecaa8a797,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_vector_jones_polarization_diagnostic,results/post_v2_physical_ceiling/vector_jones_polarization_diagnostic.csv,true,3cb58ca9b6b556f7c065f3d4e7b35cfd7546b3f6b0292c1728f110a38867562e,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_roughness_leakage_diagnostic,results/post_v2_physical_ceiling/roughness_leakage_diagnostic.csv,true,0b5b72fdb3cc05aa4ab06bff9fb35a71d6971588fbd0fe0fd331bf6c541a7223,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_transport_residence_time_diagnostic,results/post_v2_physical_ceiling/transport_residence_time_diagnostic.csv,true,fe77bdd72d5ef2f8f55e68d2a1ee35540dcdd1fbe1c7905e8571f7439e39d4d8,NODI,M,false,dirty_source_dependency_visible_not_promoted_as_clean,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
nodi_simulation_route_correction,reports/580_NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_ROUTE_CORRECTION_20260702.md,true,bc81f7cc46c8f1448cd98b6e3d79830fcd37e6be501d810a7ec5cbfd525949b9,NODI,,true,committed_or_external_hashable_source,"extend the COMSOL V4 alignment into route-universe, readout/noise, physical-ceiling, wet/surface, and simulation state-machine bindings",silent clean-source assumption; direct production/fabrication promotion; route-universe grain collapse; bypassing readout/noise or physical-ceiling diagnostics,comsol_v4_bound_simulation_extension_dirty_source_aware
