route_key,wavelength_nm,width_nm,depth_nm,comparison_stratum,aggregation_scope,aggregation_particle_family,aggregation_particle_filter_id,aggregation_weighting_id,aggregation_metric_id,aggregation_quantile,anchor_particles_included,contaminants_included_in_route_score,bfp_roi_score,bfp_roi_total_deltaI_proxy,bfp_roi_cross_term_proxy,bfp_roi_self_term_proxy,bfp_roi_cross_term_fraction,bfp_roi_self_term_fraction,bfp_roi_interference_dominant_flag,bfp_roi_cross_term_sign,bfp_roi_scalar_sign,bfp_roi_sign_agreement_with_scalar,bfp_roi_negative_cross_term_flag,bfp_roi_cross_term_claim_level,bfp_roi_operator_id,bfp_roi_mask_id,audit_bfp_jacobian_applied,audit_bfp_coordinate_frame,audit_bfp_jacobian_source_id,audit_bfp_jacobian_formula_id,audit_bfp_jacobian_unit_test_status,raw_roi_vs_scalar_score_ratio_diagnostic,raw_roi_vs_scalar_score_ratio_claim_level,bfp_roi_rank_in_stratum,bfp_roi_rank_percentile_in_stratum,v1_scalar_rank_in_stratum_for_bfp_audit,v1_scalar_rank_percentile_in_stratum_for_bfp_audit,roi_vs_scalar_percentile_delta,rank_delta_bfp_minus_scalar,percentile_delta_bfp_minus_scalar,rank_inversion_flag,rank_inversion_severity,rank_inversion_reason_codes
404/W500/D500,404,500,500,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.1255714827474934,-2.1255714827474934,-25.036562520479485,0.06335255457087599,0.9974759853018845,0.002524014698115423,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,4.143537044360428,diagnostic_only_not_gate,303,0.47110332749562167,454,0.20665499124343256,0.2644483362521891,-151,0.2644483362521891,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D550,404,500,550,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.6578088352204885,-2.6578088352204885,-28.252404428856646,0.06355274289423117,0.9977555855693399,0.0022444144306601054,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,6.353434363350312,diagnostic_only_not_gate,337,0.4115586690017513,390,0.318739054290718,0.09281961471103328,-53,0.09281961471103328,False,none,
404/W500/D600,404,500,600,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-3.325056304598219,-3.325056304598219,-31.443206361540852,0.0637330115985444,0.997977175413843,0.0020228245861570004,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,10.197176752861054,diagnostic_only_not_gate,382,0.33274956217162877,238,0.584938704028021,-0.2521891418563922,144,-0.2521891418563922,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D650,404,500,650,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-3.9952968473602746,-3.9952968473602746,-34.56897490033536,0.06389647592810441,0.9981550338337843,0.0018449661662156465,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,12.86702555157605,diagnostic_only_not_gate,430,0.24868651488616467,203,0.6462346760070052,-0.39754816112084057,227,-0.39754816112084057,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D700,404,500,700,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-4.718145681229553,-4.718145681229553,-37.59066153588669,0.06404559660133595,0.9982991343850851,0.0017008656149147998,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,16.014967481280294,diagnostic_only_not_gate,473,0.17338003502626975,181,0.6847635726795096,-0.5113835376532399,292,-0.5113835376532399,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D800,404,500,800,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-6.200046205096917,-6.200046205096917,-43.15727426298268,0.06424391775465196,0.9985136126527068,0.0014863873472932226,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,18.752055536516522,diagnostic_only_not_gate,529,0.07530647985989491,247,0.5691768826619965,-0.4938704028021016,282,-0.4938704028021016,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D900,404,500,900,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-7.591753702576563,-7.591753702576563,-47.85543372632493,0.06434944256860835,0.9986571424511291,0.0013428575488709617,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,22.639306950170603,diagnostic_only_not_gate,553,0.03327495621716292,258,0.5499124343257443,-0.5166374781085814,295,-0.5166374781085814,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D1000,404,500,1000,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-8.712231619515203,-8.712231619515203,-51.46427315229084,0.06443834430825894,0.9987494671914606,0.0012505328085394077,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,26.02409636051749,diagnostic_only_not_gate,566,0.010507880910682998,256,0.553415061295972,-0.542907180385289,310,-0.542907180385289,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D1100,404,500,1100,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-9.457883518158082,-9.457883518158082,-53.805884643970884,0.06451413940609045,0.9988024194945072,0.0011975805054927097,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,27.73781533855643,diagnostic_only_not_gate,570,0.003502626970227629,267,0.5341506129597198,-0.5306479859894921,303,-0.5306479859894921,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D1200,404,500,1200,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-9.766123892736001,-9.766123892736001,-54.76627628614413,0.06457943780698497,0.9988222062750195,0.001177793724980577,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,27.831673718572272,diagnostic_only_not_gate,572,0.0,291,0.4921190893169878,-0.4921190893169878,281,-0.4921190893169878,True,major,BFP.RANK_SHIFT_MAJOR
