extended_pairwise_view,comparison_stratum,candidate_id,relative_order,route_key,bfp_roi_rank_percentile_in_stratum,noise_pass_fraction,contaminant_pass_fraction,claim_level,reference_candidate_id,bfp_percentile_delta_vs_reference
cross_wavelength_pairwise_stability,wavelength_404_top5_bfp,v1_route_404_W1500_D500,1,404/W1500/D500,0.8178633975481611,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_404_top5_bfp,v1_route_404_W1400_D500,2,404/W1400/D500,0.8038528896672504,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_404_top5_bfp,v1_route_404_W1300_D500,3,404/W1300/D500,0.7828371278458844,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_404_top5_bfp,v1_route_404_W1500_D550,4,404/W1500/D550,0.7688266199649737,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_404_top5_bfp,v1_route_404_W1200_D500,5,404/W1200/D500,0.7600700525394045,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_488_top5_bfp,v1_route_488_W500_D1500,1,488/W500/D1500,1.0,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_488_top5_bfp,v1_route_488_W500_D1400,2,488/W500/D1400,0.9982486865148862,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_488_top5_bfp,v1_route_488_W500_D1300,3,488/W500/D1300,0.9964973730297724,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_488_top5_bfp,v1_route_488_W500_D1200,4,488/W500/D1200,0.9947460595446584,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_488_top5_bfp,v1_route_488_W500_D1100,5,488/W500/D1100,0.9929947460595446,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_532_top5_bfp,v1_route_532_W500_D1500,1,532/W500/D1500,0.9772329246935202,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_532_top5_bfp,v1_route_532_W500_D1400,2,532/W500/D1400,0.9754816112084063,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_532_top5_bfp,v1_route_532_W500_D1300,3,532/W500/D1300,0.9737302977232924,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_532_top5_bfp,v1_route_532_W500_D1200,4,532/W500/D1200,0.9719789842381786,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_532_top5_bfp,v1_route_532_W500_D1100,5,532/W500/D1100,0.9702276707530648,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_660_top5_bfp,control_660_W700_D1500,1,660/W700/D1500,0.9544658493870403,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_660_top5_bfp,v1_route_660_W700_D1400,2,660/W700/D1400,0.9527145359019265,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_660_top5_bfp,v1_route_660_W700_D1300,3,660/W700/D1300,0.9509632224168126,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_660_top5_bfp,v1_route_660_W700_D1200,4,660/W700/D1200,0.9492119089316988,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
cross_wavelength_pairwise_stability,wavelength_660_top5_bfp,v1_route_660_W700_D1100,5,660/W700/D1100,0.9474605954465849,1.0,0.0,relative_extended_pairwise_diagnostic_only,,
historical_report_pairwise_drift,historical_vs_current_main,historical_v1_488_W600_D1500,diagnostic,488/W600/D1500,,,,relative_extended_pairwise_diagnostic_only,main_660_W800_D1400,-0.07705779334500884
historical_report_pairwise_drift,historical_vs_current_main,historical_v1_488_W600_D1500,diagnostic,488/W600/D1500,,,,relative_extended_pairwise_diagnostic_only,main_660_W800_D1500,-0.049036777583187474
historical_report_pairwise_drift,historical_vs_current_main,historical_v1_532_W600_D1500,diagnostic,532/W600/D1500,,,,relative_extended_pairwise_diagnostic_only,main_660_W800_D1400,-0.08581436077057791
historical_report_pairwise_drift,historical_vs_current_main,historical_v1_532_W600_D1500,diagnostic,532/W600/D1500,,,,relative_extended_pairwise_diagnostic_only,main_660_W800_D1500,-0.05779334500875655
