paper_id,title,authors,year,doi,local_path,sha256,included_in_package,license_or_access_note,used_for_claim_area,metadata_source
De_Rond_2020_A_systematic_approach_to_improve_sc_0a9f0b7f65aa,,,,,papers/De Rond 等 - 2020 - A systematic approach to improve scatter sensitivity of a flow cytometer for detection of extracellu.pdf,8bed3c03ea1829c02b1b3fe489c5233482b5d5040f8748516238c4bea3ad536d,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Malvicini_2024_Influence_of_the_isolation_method_38805759fc68,,,,,papers/Malvicini 等 - 2024 - Influence of the isolation method on characteristics and functional activity of mesenchymal stromal.pdf,4681a5796b74149ed5669fb1e3d4343733f07f1102a7bc50426cfc78d637ccad,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Mitra_2012_Real_time_optical_detection_of_single_486ac0a45ee3,,,,,papers/Mitra 等 - 2012 - Real-time optical detection of single human and bacterial viruses based on dark-field interferometry.pdf,8764c653f2d5b750e9543e7abd5e233bc70d3cb0329caa113828e2a2ed821290,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Ortega_Arroyo_Kukura_2012_Interferometric_scatte_286d48fb7aaa,,,,,papers/Ortega-Arroyo和Kukura - 2012 - Interferometric scattering microscopy (iSCAT) New frontiers in ultrafast and ultrasensitive optical.pdf,2b266b1161ce7a1e411f6f58056f022910edbe968a6ba750af8c2a7d59681de2,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Pleet_2023_Extracellular_vesicle_refractive_inde_8fde80c0e5d5,,,,,papers/Pleet 等 - 2023 - Extracellular vesicle refractive index derivation utilizing orthogonal characterization.pdf,026917e7b54989475900ce32e2bf8d11a2dff0e0810ff4122b1306602d399815,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2019_Nonfluorescent_Molecule_De_888387f2091e,,,,,papers/Tsuyama_Mawatari_2019_Nonfluorescent Molecule Detection in 10 sup2-sup nm Nanofluidic Channels by.pdf,12a71db55c303662d34c12a83ed38b1cc753f1669b2ccd317d04bffeb3808914,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2020_Concentration_Determinatio_5b3c05c3a097,,,,,papers/Tsuyama_Mawatari_2020_Concentration Determination at a Countable Molecular Level in Nanofluidics by.pdf,07518f2d2a3ec5f705421d3a7066356900f8ecfa7bb7d3001bae627d37ac2d65,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2020_Detection_and_Characteriza_a53722070435,,,,,papers/Tsuyama_Mawatari_2020_Detection and Characterization of Individual Nanoparticles in a Liquid by.pdf,a6892db6b63d48aee3ed79316b8bae68528a1897045c2d8d1aae19cb1968479c,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2022_Nanofluidic_optical_diffra_c74d3908825d,,,,,papers/Tsuyama_Mawatari_2022_Nanofluidic optical diffraction interferometry for detection and classification.pdf,ba1a4bf365198656e2e2b2a58b7fbb5fcc9288d30ecfccf8f5c2fd5db445997e,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2022_Supplementary_file1_13b2c26ed2fa,,,,,papers/Tsuyama_Mawatari_2022_Supplementary file1.docx,3a1b5f67fa8d81284f9665d6b7ccb13e0b2153e17b9b53ef4aa3e88ee70cbb01,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2020_Characterization_of_optica_c50e30793c4a,,,,,papers/Tsuyama和Mawatari - 2020 - Characterization of optical diffraction by single nanochannel for aL–fL sample detection in nanoflui.pdf,30ac3e7d5a22c2619d1d5ba9af062cbf89bd91a3affed9b5359980a8d5e7d3e1,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Tsuyama_Mawatari_2024_Nanofluidic_detection_plat_d49f665a971a,,,,,papers/Tsuyama和Mawatari - 2024 - Nanofluidic detection platform for simultaneous light absorption and scattering measurement of indiv.pdf,87728e30572dd7e5c5db9209457990d3c04960b948a6dfa014f7c6cfcd4aa113,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Welsh_2024_Minimal_information_for_studies_of_ex_44d3cff7e306,,,,,papers/Welsh 等 - 2024 - Minimal information for studies of extracellular vesicles (MISEV2023) from basic to advanced approa.pdf,57a5e0049a3149561288259aa95a6e041b0390c5b3a39aaed1209aba15806e88,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Welsh_Jones_2020_Small_particle_fluorescence_and_b60585a2e22c,,,,,papers/Welsh和Jones - 2020 - Small particle fluorescence and light scatter calibration using FCMPASS software.pdf,ec5ddfd1cb0bf15addad24bb138540e38dd6f611e14efe11216273ae37dc3d67,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
Young_Kukura_2019_Interferometric_scattering_mic_79e7dd73e4c7,,,,,papers/Young和Kukura - 2019 - Interferometric scattering microscopy.pdf,c4dcc2539118d2718b25022fd84e6a295178bfe09be4c79363d8e6a8fb38b77f,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
S_pac_kova_2022_Label_free_nanofluidic_scatterin_c880babad55b,,,,,papers/Špačková 等 - 2022 - Label-free nanofluidic scattering microscopy of size and mass of single diffusing molecules and nano.pdf,2c8cb0075c980f3458a0d1e24c46121a175a15f685037d2e595b4e51ea59b2a8,true,local_reference_copy_not_relicensed,,not_claim_bearing_not_used_for_claim_area
