diagnostic_schema_version,candidate_id,route_key,comparison_stratum,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,green_tensor_rank_percentile_in_stratum,green_tensor_vs_v1_rank_percentile_delta,green_tensor_pairwise_inversion_flag,surrogate_risk_label,surrogate_risk_reason_codes,raw_complex_field_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D500,404/W500/D500,all_ranked_routes,0.20665499124343256,0.47110332749562167,0.5884413309982487,0.38178633975481613,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.6002626970227671,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D550,404/W500/D550,all_ranked_routes,0.318739054290718,0.4115586690017513,0.5061295971978984,0.18739054290718038,False,medium_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MODERATE,0.5490367775831874,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D600,404/W500/D600,all_ranked_routes,0.584938704028021,0.33274956217162877,0.4071803852889667,-0.17775831873905423,False,medium_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MODERATE,0.47040280210157615,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D650,404/W500/D650,all_ranked_routes,0.6462346760070052,0.24868651488616467,0.3047285464098074,-0.34150612959719784,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.397723292469352,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D700,404/W500/D700,all_ranked_routes,0.6847635726795096,0.17338003502626975,0.1576182136602452,-0.5271453590192644,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.3119964973730298,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D800,404/W500/D800,all_ranked_routes,0.5691768826619965,0.07530647985989491,0.021015761821365997,-0.5481611208406305,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.19851138353765324,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D900,404/W500/D900,all_ranked_routes,0.5499124343257443,0.03327495621716292,0.0026269702276707774,-0.5472854640980735,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.1449211908931699,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1000,404/W500/D1000,all_ranked_routes,0.553415061295972,0.010507880910682998,0.04378283712784592,-0.509632224168126,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.22968476357267953,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1100,404/W500/D1100,all_ranked_routes,0.5341506129597198,0.003502626970227629,0.12697022767075306,-0.4071803852889667,False,high_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MAJOR,0.29623467600700526,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1200,404/W500/D1200,all_ranked_routes,0.4921190893169878,0.0,0.2942206654991243,-0.1978984238178635,False,medium_surrogate_risk,GREEN_TENSOR.NO_SOLVER_RANK_PROXY;GREEN_TENSOR.RANK_PERCENTILE_SHIFT_MODERATE,0.3900175131348511,False,False,False,surrogate_risk_reduction_only
