diagnostic_schema_version,candidate_id,route_key,comparison_stratum,perturbation_family_id,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,roughness_leakage_rank_percentile_in_stratum,roughness_leakage_vs_v1_rank_percentile_delta,roughness_leakage_pairwise_inversion_flag,roughness_leakage_surrogate_risk_label,roughness_leakage_surrogate_risk_reason_codes,raw_leakage_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,measured_blank_safety_claim_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D500,404/W500/D500,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.20665499124343256,0.47110332749562167,0.21190893169877412,0.005253940455341555,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.9311150029188558,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D550,404/W500/D550,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.318739054290718,0.4115586690017513,0.27845884413309985,-0.04028021015761818,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.7428196147110333,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D600,404/W500/D600,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.584938704028021,0.33274956217162877,0.5061295971978984,-0.07880910683012254,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.8855224751897255,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D650,404/W500/D650,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.6462346760070052,0.24868651488616467,0.5481611208406305,-0.09807355516637473,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,1.0142148277875074,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D700,404/W500/D700,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.6847635726795096,0.17338003502626975,0.5726795096322241,-0.11208406304728546,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,1.1113835376532397,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D800,404/W500/D800,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.5691768826619965,0.07530647985989491,0.4430823117338003,-0.1260945709281962,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,1.0605370694687681,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D900,404/W500/D900,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.5499124343257443,0.03327495621716292,0.4185639229422067,-0.13134851138353765,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,1.0499708114419146,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1000,404/W500/D1000,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.553415061295972,0.010507880910682998,0.4308231173380035,-0.12259194395796846,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,1.042907180385289,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1100,404/W500/D1100,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.5341506129597198,0.003502626970227629,0.4098073555166375,-0.12434325744308228,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.9973146526561588,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1200,404/W500/D1200,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.4921190893169878,0.0,0.3887915936952715,-0.10332749562171628,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.RANK_PERCENTILE_SHIFT_MODERATE;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.9254524226503211,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1300,404/W500/D1300,all_ranked_routes,geometry_margin_leakage_proxy_no_simulation,0.5183887915936953,0.0017513134851138146,0.4203152364273205,-0.09807355516637484,False,medium_surrogate_risk,ROUGHNESS_LEAKAGE.NO_SOLVER_RANK_PROXY;ROUGHNESS_LEAKAGE.GEOMETRY_MARGIN_PROXY_HIGH,0.9166374781085815,False,False,False,False,surrogate_risk_reduction_only
