diagnostic_schema_version,candidate_id,route_key,comparison_stratum,transport_family_id,v1_scalar_rank_percentile_in_stratum,transport_residence_rank_percentile_in_stratum,transport_residence_vs_v1_rank_percentile_delta,transport_residence_pairwise_inversion_flag,transport_surrogate_risk_label,transport_surrogate_risk_reason_codes,coincidence_proxy_diagnostic_only,raw_residence_time_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,true_ev_concentration_claim_allowed,sample_count_claim_allowed,absolute_event_probability_claim_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D500,404/W500/D500,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.20665499124343256,0.20665499124343256,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D550,404/W500/D550,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.318739054290718,0.318739054290718,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D600,404/W500/D600,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.584938704028021,0.584938704028021,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D650,404/W500/D650,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.6462346760070052,0.6462346760070052,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D700,404/W500/D700,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.6847635726795096,0.6847635726795096,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D800,404/W500/D800,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.5691768826619965,0.5691768826619965,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D900,404/W500/D900,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.5499124343257443,0.5499124343257443,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1000,404/W500/D1000,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.553415061295972,0.553415061295972,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1100,404/W500/D1100,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.5341506129597198,0.5341506129597198,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1200,404/W500/D1200,all_ranked_routes,relative_stability_residence_proxy_no_simulation,0.4921190893169878,0.4921190893169878,0.0,False,medium_surrogate_risk,TRANSPORT.NO_SOLVER_RANK_PROXY;TRANSPORT.RESIDENCE_SAMPLE_PROFILE_UNKNOWN,1.0,0.97,False,False,False,False,False,False,surrogate_risk_reduction_only
