schema_version,forbidden_claim,observed_positive_output,audit_status,allowed_lane,required_next_gate
nodi_comsol_gate2b_forbidden_claim_audit_v1,q_ch_weighting,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,q_ch_eta,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,q_ch_chi_eta,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,chi_selected,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,route_score,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,JOINT_ROUTE_CLASS,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,JRC,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,yield,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,winner,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,detection_probability,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,wet_pass_probability,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,clogging_rate,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,time_to_clog,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,recovery,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,runtime_configuration,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
nodi_comsol_gate2b_forbidden_claim_audit_v1,production_ingestion,false,PASS_BLOCKED,none,future explicit authorization outside Gate2B context-only ingestion
