register_row_id,schema_version,candidate_type,source_artifact,sha256,row_count,producer,evidence_class,route_key,diameter_basis,bin_basis,claim_boundary,allowed_use,blocked_use,required_next_gate,v4_context_binding,candidate_status,grain_alignment_status,matched_grain_count,blocked_grain_count,review_note
G2CTX-TPD-SOURCE-001,nodi_comsol_gate2_context_candidate_register_v1,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,COMSOL,transported_position_source_smoke_context_only,660/W800/D1200;660/W800/D900,220;300,edge_norm_1d,transport_distribution_context_only_not_detection,Gate2 context candidate review and route/bin alignment preflight only,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,not_v4_bound_transport_context,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,0,7,"TPD source exists, but it is coarse edge4 context and has no NODI view binding."
G2CTX-TPD-ALIGN-002,nodi_comsol_gate2_context_candidate_register_v1,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,67094e7f2a7045c368dd47f1d169b7be4cb0a4f409b8765b6505fafec03ae0a3,32,COMSOL,tpd_to_nodi_schema_alignment_context_only,660/W800/D1200;660/W800/D900,220;300,edge_norm_1d,transport_distribution_context_only_not_detection,Gate2 context candidate review of coarse-to-fine bin alignment only,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,not_v4_bound_transport_context,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,0,7,"Schema-compatible alignment, but no scalar chi or q_ch use is authorized."
G2CTX-QCH-MISSING-003,nodi_comsol_gate2_context_candidate_register_v1,q_ch / flow split candidate,UNAVAILABLE_FORMAL_QCH_FLOW_SPLIT_SIDECAR,MISSING_UNTIL_FORMAL_GATE2_EXPORT,0,COMSOL,missing_formal_gate2_qch_flow_split_export,MISSING_QCH_FLOW_SPLIT_ROUTE_KEY,MISSING_QCH_FLOW_SPLIT_DIAMETER_BASIS,MISSING_QCH_FLOW_SPLIT_BIN_BASIS,no_qch_or_flow_split_artifact_available_for_nodi_gate2,none beyond blocked-register documentation,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,COMSOL formal Gate2 q_ch/flow split export package,not_v4_bound_qch_missing,BLOCKED_MISSING_FORMAL_GATE2_EXPORT,BLOCKED_NO_FORMAL_QCH_FLOW_SPLIT_ARTIFACT,0,1,Reviewed COMSOL packets say qch_reference_status=not_used.
G2CTX-CHI-AGG-004,nodi_comsol_gate2_context_candidate_register_v1,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,COMSOL,threshold_crossing_fraction_proxy_context_only,660/W800/D1200;660/W800/D900,220;300,not_position_binned,chi_context_proxy_not_calibrated_not_detection,Gate2 context proxy review only; no scalar promotion,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,NODI-side Gate2 context-only review with blocked-grain disposition,not_v4_bound_chi_context_proxy,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,PARTIAL_MATCH_BLOCKED_GRAINS_REGISTERED,2,6,Context proxy rows keep NODI views and weighting bases separate.
G2CTX-CHI-BIN-005,nodi_comsol_gate2_context_candidate_register_v1,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,64,COMSOL,threshold_crossing_fraction_proxy_bin_context_only,660/W800/D1200;660/W800/D900,220;300,TPD_edge4_to_PRS_edge20_group_context,chi_context_proxy_not_calibrated_not_detection,Gate2 bin-level context proxy review only; no selected-chi promotion,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,explicit coarse edge4 to PRS edge20 review before any future formula use,not_v4_bound_chi_context_proxy,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,PARTIAL_MATCH_BLOCKED_GRAINS_REGISTERED,2,14,Bin rows map 4 TPD bins to PRS edge20 groups; this is not direct PRS occupancy.
G2CTX-LQ-ANCHOR-006,nodi_comsol_gate2_context_candidate_register_v1,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_ENTRANCE_LOCAL_Q_EFFECTIVE_APERTURE_LOCAL_Q_EVENT_TREE_BRIDGE_INPUT_20260623.csv,d9abebc223680e97eda9113af0a97b38394a742495c121de854831b241c64c3b,300,COMSOL,local_q_hydraulic_anchor_context,W500/D1000_NO_NODI_LAMBDA;W500/D1200_NO_NODI_LAMBDA;W500/D1400_NO_NODI_LAMBDA;W500/D600_NO_NODI_LAMBDA;W500/D800_NO_NODI_LAMBDA;W500/D900_NO_NODI_LAMBDA;W600/D1000_NO_NODI_LAMBDA;W600/D1200_NO_NODI_LAMBDA;W600/D1400_NO_NODI_LAMBDA;W600/D600_NO_NODI_LAMBDA;W600/D800_NO_NODI_LAMBDA;W600/D900_NO_NODI_LAMBDA;W800/D1000_NO_NODI_LAMBDA;W800/D1200_NO_NODI_LAMBDA;W800/D1400_NO_NODI_LAMBDA;W800/D900_NO_NODI_LAMBDA,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,simulation_only_local_hydraulic_anchor,review-only hydraulic context; no NODI scalar promotion,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,separate local-Q/NODI binding review if hydraulic context is needed,not_v4_bound_local_q_anchor,REVIEW_ONLY_NOT_GATE2_INPUT,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,0,1,Hydraulic anchor lacks NODI lambda/view/bin binding.
G2CTX-LQ-SCREEN-007,nodi_comsol_gate2_context_candidate_register_v1,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_LOCAL_Q_EVENT_TREE_BRIDGE_SCREENING_RESULTS_20260623.csv,71c06622949b2da0de20637d81ec182728440ee6e759143e159c94c5af3f1019,1833,COMSOL/Python diagnostic,event_tree_route_shift_diagnostic_not_result,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,screening_only_not_calibrated_event_tree,review-only event-tree diagnostic context,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,calibrated event-data gate before any event-tree result claim,not_v4_bound_event_tree_screening,REVIEW_ONLY_NOT_GATE2_INPUT,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,0,1,Rows are marked not_a_result and cannot become NODI production input.
G2CTX-LQ-BRANCH-008,nodi_comsol_gate2_context_candidate_register_v1,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_LOCAL_Q_BRANCH_ENVELOPE_REVIEW_GATE_BRANCH_DECISIONS_20260624.csv,a901231000aa91f7abdc1d269597d14e7d6b1eb9473b3a4d4231a05f12ce9c28,3,COMSOL/Python diagnostic,branch_envelope_review_gate_context,UNBOUND_REVIEW_ONLY,not_diameter_binned,not_position_binned,screening_main_trunk_not_calibrated_result,review-only branch-envelope context,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,separate physics-contract gate before default event-tree use,not_v4_bound_branch_envelope,REVIEW_ONLY_NOT_GATE2_INPUT,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,0,1,Packet explicitly blocks calibrated route winner and detection probability.
G2CTX-V4-CONTRACT-009,nodi_comsol_gate2_context_candidate_register_v1,V4 sample/surface review-only context,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_20260627.json,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,1,COMSOL context governance,v4_descriptor_closure_contract_review_only,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,not_diameter_binned,not_position_binned,literature_derived_descriptor_closure_scenario_only_not_project_measurement_or_calibration,review-only V4 claim-boundary context,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,V4-bound Gate2 review package with all production flags false,v4_assumption_set_hash_pinned_review_only_no_production,REVIEW_ONLY_NOT_GATE2_INPUT,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,0,1,Canonical V4 contract is descriptor-only and not NODI production input.
G2CTX-V4-SIDECAR-010,nodi_comsol_gate2_context_candidate_register_v1,V4 sample/surface review-only context,roadmap/EV_PBS_V4_NON_NANO_NODI_REVIEW_CONTEXT_SIDECAR_ROWS_20260627.csv,384181edfb6043716623ddd32f38d72fb941867a759f8bf877348ad2c0f4ca6b,16,COMSOL context governance,v4_nodi_review_context_sidecar_review_only,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,not_diameter_binned,direct_lodge_delta;interaction_detachment;interaction_hydraulic;interaction_stack;interaction_wall_deposit;scenario_delta_summary,review_context_only_not_production_ingestion,review-only NODI-facing V4 context loading,PRS occupancy; q_ch*eta; chi_selected; route score; yield; winner; detection_probability; JOINT_ROUTE_CLASS; true W_eff; measured geometry; optical solver claim; wet pass probability; clogging rate,"separate V4 production-ingestion authorization, currently blocked",v4_assumption_set_hash_pinned_review_only_no_production,REVIEW_ONLY_NOT_GATE2_INPUT,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,0,1,Sidecar rows carry production/count/optical/runtime/COMSOL flags false.
