schema_version,source_artifact,source_sha256,source_row_count,source_package,nodi_register_row_id,comsol_artifact_id,comsol_gate_id,route_key,NODI_view,diameter_nm,bin_basis,edge4_to_edge20_policy,matched_prs_grain_status,blocked_grain_status,ingestion_lane,claim_boundary,allowed_use,blocked_use,required_next_gate,context_only_formal_ingestion_allowed,qch_sidecar_status,can_enter_weighting,can_enter_jrc,is_chi_selected,is_production_ingestion,is_runtime_configuration
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-TPD-SOURCE-001,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,G2-TPD-SOURCE-CONTEXT,660/W800/D1200;660/W800/D900,UNBOUND,220;300,edge_norm_1d,edge4_to_edge20_review_only_grouping_not_direct_prs_bin,matched_prs_grain_count_0,blocked_grain_count_7,source_ready_but_blocked,transport_distribution_context_only_not_detection,read-only transported-position sidecar/source context for Gate2 review; edge_norm_1d coarse bin alignment input,weighting output; chi_selected; q_ch weighting; q_ch*eta; route_score; JOINT_ROUTE_CLASS; yield; winner; detection_probability; full-chip occupancy; fabrication_release,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-TPD-ALIGN-002,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,G2-TPD-PRS-ALIGNMENT,660/W800/D1200;660/W800/D900,UNBOUND,220;300,edge_norm_1d,edge4_to_edge20_review_only_grouping_not_direct_prs_bin,matched_prs_grain_count_0,blocked_grain_count_7,source_ready_but_blocked,schema_compatible_alignment_only_not_scalar_chi,coarse-to-fine edge_norm schema alignment review; no-output mapping,silent diameter/bin mapping; chi_selected; weighted PRS output; q_ch products; JRC; yield; winner,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/COMSOL_GATE2A_QCH_PROVENANCE_ONLY_EXPORT_20260627.csv,2f375adf48640b44ffb2a7919da4efa0502cfaeb5f5f0b22fe94268f2722a3a6,92,COMSOL_GATE2A_NODI_BINDING_20260627,G2CTX-QCH-MISSING-003,COMSOL_GATE2A_QCH_PROVENANCE_ONLY_EXPORT_20260627,G2-QCH-SIDECAR,660/W800/D900_A85;660/W800/D1200_A87,not_applicable_provenance_only,not_particle_diameter_binned,not_position_binned,not_applicable,not_gate2_qch_sidecar,formal_qch_flow_split_sidecar_absent,q_ch_provenance_quarantine,qch_provenance_only_not_transport_occupancy_not_qch_eta,descriptive provenance and lineage review only,formal q_ch sidecar; q_ch weighting; q_ch*eta; q_ch*chi*eta; route_score; JRC; yield; winner; detection_probability,COMSOL formal Gate2 q_ch/flow split sidecar package,false,PROVENANCE_ONLY_NOT_GATE2_QCH_SIDECAR,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/EV_PBS_ENTRANCE_LOCAL_Q_EFFECTIVE_APERTURE_LOCAL_Q_EVENT_TREE_BRIDGE_INPUT_20260623.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-LQ-ANCHOR-006,roadmap/EV_PBS_ENTRANCE_LOCAL_Q_EFFECTIVE_APERTURE_LOCAL_Q_EVENT_TREE_BRIDGE_INPUT_20260623.csv,G2-LOCAL-Q-HYDRAULIC,W500/D1000_NO_NODI_LAMBDA;W500/D1200_NO_NODI_LAMBDA;W500/D1400_NO_NODI_LAMBDA;W500/D600_NO_NODI_LAMBDA;W500/D800_NO_NODI_LAMBDA;W500/D900_NO_NODI_LAMBDA;W600/D1000_NO_NODI_LAMBDA;W600/D1200_NO_NODI_LAMBDA;W600/D1400_NO_NODI_LAMBDA;W600/D600_NO_NODI_LAMBDA;W600/D800_NO_NODI_LAMBDA;W600/D900_NO_NODI_LAMBDA;W800/D1000_NO_NODI_LAMBDA;W800/D1200_NO_NODI_LAMBDA;W800/D1400_NO_NODI_LAMBDA;W800/D900_NO_NODI_LAMBDA,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,not_applicable,matched_prs_grain_count_0,blocked_grain_count_1,review_only_diagnostic,smooth_wall_effective_aperture_local_direct_cell_hydraulic_evidence_only,"event-tree/hydraulic review context using q_mean, resistance, velocity, aperture category, defect length",NODI Gate2 scalar input; calibrated clogging; time-to-clog; recovery; yield; winner; detection_probability; true W_eff; PEG wet passivation,separate local-Q/NODI binding review if hydraulic context is needed,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/EV_PBS_LOCAL_Q_EVENT_TREE_BRIDGE_SCREENING_RESULTS_20260623.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-LQ-SCREEN-007,roadmap/EV_PBS_LOCAL_Q_EVENT_TREE_BRIDGE_SCREENING_RESULTS_20260623.csv,G2-LOCAL-Q-HYDRAULIC,UNBOUND_REVIEW_ONLY,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,not_applicable,matched_prs_grain_count_0,blocked_grain_count_1,review_only_diagnostic,screening_or_branch_review_only_not_calibrated_result,"screening, formula review, and branch-envelope review context",calibrated event-tree result; time-to-clog; no-clogging; recovery; route winner; NODI production scalar; JRC,calibrated event-data gate before any event-tree result claim,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/EV_PBS_LOCAL_Q_BRANCH_ENVELOPE_REVIEW_GATE_BRANCH_DECISIONS_20260624.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-LQ-BRANCH-008,roadmap/EV_PBS_LOCAL_Q_BRANCH_ENVELOPE_REVIEW_GATE_BRANCH_DECISIONS_20260624.csv,G2-LOCAL-Q-HYDRAULIC,UNBOUND_REVIEW_ONLY,UNBOUND_REVIEW_ONLY,not_diameter_binned,not_position_binned,not_applicable,matched_prs_grain_count_0,blocked_grain_count_1,review_only_diagnostic,screening_or_branch_review_only_not_calibrated_result,"screening, formula review, and branch-envelope review context",calibrated event-tree result; time-to-clog; no-clogging; recovery; route winner; NODI production scalar; JRC,separate physics-contract gate before default event-tree use,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_20260627.json,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-V4-CONTRACT-009,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_20260627.json,G2-V4-NODI-REVIEW,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,UNBOUND_REVIEW_ONLY,not_diameter_binned,not_position_binned,not_applicable,matched_prs_grain_count_0,blocked_grain_count_1,review_only_claim_ceiling,v4_descriptor_only_review_only_not_project_measurement_or_calibration,V4-bound read-only review context; descriptor/watch/sensitivity/preflight language only,NODI runtime configuration; NODI production ingestion; count prediction; optical update; COMSOL launch; MPH load; wet pass probability; calibrated event rate; time-to-clog; recovery; yield; winner,V4-bound Gate2 review package with all production flags false,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,roadmap/EV_PBS_V4_NON_NANO_NODI_REVIEW_CONTEXT_SIDECAR_ROWS_20260627.csv,see_gate2a_reconciliation_source_package,see_gate2a_reconciliation_source_package,NODI_GATE2A_REPORT199,G2CTX-V4-SIDECAR-010,roadmap/EV_PBS_V4_NON_NANO_NODI_REVIEW_CONTEXT_SIDECAR_ROWS_20260627.csv,G2-V4-NODI-REVIEW,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,UNBOUND_REVIEW_ONLY,not_diameter_binned,direct_lodge_delta;interaction_detachment;interaction_hydraulic;interaction_stack;interaction_wall_deposit;scenario_delta_summary,not_applicable,matched_prs_grain_count_0,blocked_grain_count_1,review_only_claim_ceiling,v4_descriptor_only_review_only_not_project_measurement_or_calibration,V4-bound read-only review context; descriptor/watch/sensitivity/preflight language only,NODI runtime configuration; NODI production ingestion; count prediction; optical update; COMSOL launch; MPH load; wet pass probability; calibrated event rate; time-to-clog; recovery; yield; winner,"separate V4 production-ingestion authorization, currently blocked",false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,NODI_COMSOL_GATE2A_BLOCKERS_20260627.csv,658c562e0945f91c0a2015752dcfbfdc23ff1786787cab4903f20a0152dec95c,10,NODI_GATE2A_REPORT199,*,G2-WEIGHTING-AUTHORIZATION,G2-WEIGHTING-AUTHORIZATION,not_applicable_strong_claim_blocker,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,NODI_RECONCILED_BLOCKED_STRONG_CLAIMS,strong_claim_hard_blocker,no_weighting_no_jrc_no_strong_claims,blocked-field audit only,any weighted output or production scalar,future explicit weighting/JRC/strong-claims authorization,false,not_qch_sidecar,false,false,false,false,false
nodi_comsol_gate2b_quarantine_review_only_register_v1,NODI_COMSOL_GATE2A_BLOCKERS_20260627.csv,658c562e0945f91c0a2015752dcfbfdc23ff1786787cab4903f20a0152dec95c,10,NODI_GATE2A_REPORT199,*,G2-JRC-STRONG-CLAIMS,G2-JRC-STRONG-CLAIMS,not_applicable_strong_claim_blocker,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,NODI_RECONCILED_BLOCKED_STRONG_CLAIMS,strong_claim_hard_blocker,no_weighting_no_jrc_no_strong_claims,blocked-field audit only,"JOINT_ROUTE_CLASS, yield, winner, detection_probability, recovery, time-to-clog, fabrication_release",future explicit weighting/JRC/strong-claims authorization,false,not_qch_sidecar,false,false,false,false,false
